el_id,family
540,DSEXT
541,D2A
542,Q1AB
543,D1Aa
544,BPM
545,D1Ab
546,DSEXT
547,S1A
547,HSTR
547,VSTR
548,DSEXT
549,D1A
550,Q1AB
551,D2A
552,DSEXT
553,S2A
553,SQUAD
553,HSTR
553,VSTR
554,DSEXT
555,D3A
556,Q2AB
557,D4Aa
558,BPM
559,D4Ab
560,BB
561,D6B
562,DSEXT
563,S2B
563,HSTR
563,VSTR
564,DSEXT
565,D5B
566,Q3B
567,D4Ba
568,BPM
569,D4Bb
570,Q2B
571,D3B
572,DSEXT
573,S1B
573,SQUAD
573,HSTR
573,VSTR
574,DSEXT
575,D2B
576,Q1B
577,KD1
578,BPM
579,DBPM
580,DRIFT
581,DRIFT
582,HCHICA
583,DRIFT
584,DRIFT
585,DRIFT
586,HTRIM
587,VTRIM
588,DRIFT
589,U23b
590,source
591,U23b
592,DRIFT
593,HTRIM
594,VTRIM
595,DRIFT
596,DRIFT
597,DRIFT
598,HCHICA
599,DRIFT
600,DRIFT
601,DRIFT
602,HCHICA
603,DRIFT
604,DRIFT
605,DBPM
606,BPM
607,KD1
608,Q1B
609,D2B
610,DSEXT
611,S1B
611,SQUAD
611,HSTR
611,VSTR
612,DSEXT
613,D3B
614,Q2B
615,D4B
616,Q3B
617,D5B
618,DSEXT
619,S2B
619,HSTR
619,VSTR
620,DSEXT
621,D6Ba
622,BPM
623,D6Bb
624,BB
625,D4A
626,Q2AB
627,D3Aa
628,BPM
629,D3Ab
630,DSEXT
631,S2A
631,SQUAD
631,HSTR
631,VSTR
632,DSEXT
633,D2A
634,Q1AB
635,D1Aa
636,BPM
637,D1Ab
638,DSEXT
639,S1A
639,HSTR
639,VSTR
640,DSEXT
641,D1A
642,Q1AB
643,D2A
644,DSEXT
645,S2A
645,SQUAD
645,HSTR
645,VSTR
646,DSEXT
647,D3A
648,Q2AB
649,D4Aa
650,BPM
651,D4Ab
652,source
653,BB
654,D6B
655,DSEXT
656,S2B
656,HSTR
656,VSTR
657,DSEXT
658,D5B
659,Q3B
660,D4Ba
661,BPM
662,D4Bb
663,Q2B
664,D3B
665,DSEXT
666,S1B
666,SQUAD
666,HSTR
666,VSTR
667,DSEXT
668,D2B
669,Q1B
670,KD1
671,BPM
672,DBPM
673,DRIFT
674,HTRIM
675,VTRIM
676,DRIFT
677,DRIFT
678,source
679,DRIFT
680,DRIFT
681,HTRIM
682,VTRIM
683,DRIFT
684,DBPM
685,BPM
686,KD1
687,Q1B
688,D2B
689,DSEXT
690,S1C
690,SQUAD
690,HSTR
690,VSTR
691,DSEXT
692,D3B
693,Q2B
694,D4B
695,Q3B
696,D5B
697,DSEXT
698,S2C
698,HSTR
698,VSTR
699,DSEXT
700,D6Ba
701,BPM
702,D6Bb
703,BB
704,D4A
705,Q2AB
706,D3Aa
707,BPM
708,D3Ab
709,DSEXT
710,S2A
710,SQUAD
710,HSTR
710,VSTR
711,DSEXT
712,D2A
713,Q1AB
714,D1Aa
715,BPM
716,D1Ab
717,DSEXT
718,S1A
718,HSTR
718,VSTR
719,DSEXT
720,D1A
721,Q1AD
722,D2A
723,DSEXT
724,S2A
724,SQUAD
724,HSTR
724,VSTR
725,DSEXT
726,D3A
727,Q2AD
728,D4Aa
729,BPM
730,D4Ab
731,BB
732,D6B
733,DSEXT
734,S2D
734,HSTR
734,VSTR
735,DSEXT
736,D5B
737,Q3D
738,D4Ba
739,BPM
740,D4Bb
741,Q2D
742,D3B
743,DSEXT
744,S1D
744,SQUAD
744,HSTR
744,VSTR
745,DSEXT
746,D2B
747,Q1D
748,D09_1
749,QM09
750,D09_2
751,DRIFT
752,HCHICA
753,DRIFT
754,D09_3
755,BPM
756,DRIFT
757,HTRIM
758,VTRIM
759,DRIFT
760,DRIFT
761,source
762,DRIFT
763,DRIFT
764,HTRIM
765,VTRIM
766,DRIFT
767,BPM
768,D09_5
769,HSTR
770,VSTR
771,D09_6
772,DRIFT
773,HCHICA
774,DRIFT
775,D09_7
776,QM09
777,D09_8
778,QM09
779,D09_9
780,BPM
781,D09_10
782,HSTR
783,VSTR
784,DRIFT
785,HTRIM
786,VTRIM
787,DRIFT
788,DRIFT
789,source
790,DRIFT
791,DRIFT
792,HTRIM
793,VTRIM
794,DRIFT
795,BPM
796,D09_12
797,DRIFT
798,HCHICA
799,DRIFT
800,D09_13
801,QM09
802,D09_14
803,Q1D
804,D2B
805,DSEXT
806,S1D
806,SQUAD
806,HSTR
806,VSTR
807,DSEXT
808,D3B
809,Q2D
810,D4B
811,Q3D
812,D5B
813,DSEXT
814,S2D
814,HSTR
814,VSTR
815,DSEXT
816,D6Ba
817,BPM
818,D6Bb
819,BB
820,D4A
821,Q2AD
822,D3Aa
823,BPM
824,D3Ab
825,DSEXT
826,S2A
826,SQUAD
826,HSTR
826,VSTR
827,DSEXT
828,D2A
829,Q1AD
830,D1Aa
831,BPM
832,D1Ab
833,DSEXT
834,S1A
834,HSTR
834,VSTR
835,DSEXT
836,D1A
837,Q1AB
838,D2A
839,DSEXT
840,S2A
840,SQUAD
840,HSTR
840,VSTR
841,DSEXT
842,D3A
843,Q2AB
844,D4Aa
845,BPM
846,D4Ab
847,BB
848,D6B
849,DSEXT
850,S2C
850,HSTR
850,VSTR
851,DSEXT
852,D5B
853,Q3B
854,D4Ba
855,BPM
856,D4Bb
857,Q2B
858,D3B
859,DSEXT
860,S1C
860,SQUAD
860,HSTR
860,VSTR
861,DSEXT
862,D2B
863,Q1B
864,D10_1
865,BPM
866,D10_2
867,DRIFT
868,HCHICA
869,DRIFT
870,D10_3
871,DRIFT
872,HCHICA
873,DRIFT
874,D10_4
875,DRIFT
876,HTRIM
877,VTRIM
878,DRIFT
879,D10_5
880,source
881,D10_5
882,DRIFT
883,HTRIM
884,VTRIM
885,DRIFT
886,D10_6
887,BPM10
888,D10_7
889,DRIFT
890,HCHICA
891,DRIFT
892,D10_7
893,BPM10
894,D10_6
895,DRIFT
896,HTRIM
897,VTRIM
898,DRIFT
899,D10_5
900,source
901,D10_5
902,DRIFT
903,HTRIM
904,VTRIM
905,DRIFT
906,D10_4
907,DRIFT
908,HCHICA
909,DRIFT
910,D10_3
911,DRIFT
912,HCHICA
913,DRIFT
914,D10_8
915,BPM
916,D10_9
917,Q1B
918,D2B
919,DSEXT
920,S1B
920,SQUAD
920,HSTR
920,VSTR
921,DSEXT
922,D3B
923,Q2B
924,D4B
925,Q3B
926,D5B
927,DSEXT
928,S2B
928,HSTR
928,VSTR
929,DSEXT
930,D6Ba
931,BPM
932,D6Bb
933,BB
934,D4A
935,Q2AB
936,D3Aa
937,BPM
938,D3Ab
939,DSEXT
940,S2A
940,SQUAD
940,HSTR
940,VSTR
941,DSEXT
942,D2A
943,Q1AB
944,D1Aa
945,BPM
946,D1Ab
947,DSEXT
948,S1A
948,HSTR
948,VSTR
949,DSEXT
950,D1A
951,Q1AB
952,D2A
953,DSEXT
954,S2A
954,SQUAD
954,HSTR
954,VSTR
955,DSEXT
956,D3A
957,Q2AB
958,D4Aa
959,BPM
960,D4Ab
961,BB
962,D6B
963,DSEXT
964,S2B
964,HSTR
964,VSTR
965,DSEXT
966,D5B
967,Q3B
968,D4Ba
969,BPM
970,D4Bb
971,Q2B
972,D3B
973,DSEXT
974,S1B
974,SQUAD
974,HSTR
974,VSTR
975,DSEXT
976,D2B
977,Q1B
978,KD1
979,BPM
980,DBPM
981,DRIFT
982,HTRIM
983,VTRIM
984,DRIFT
985,DRIFT
986,source
987,DRIFT
988,DRIFT
989,HTRIM
990,VTRIM
991,DRIFT
992,DBPM
993,BPM
994,KD1
995,Q1B
996,D2B
997,DSEXT
998,S1B
998,SQUAD
998,HSTR
998,VSTR
999,DSEXT
1000,D3B
1001,Q2B
1002,D4B
1003,Q3B
1004,D5B
1005,DSEXT
1006,S2B
1006,HSTR
1006,VSTR
1007,DSEXT
1008,D6Ba
1009,BPM
1010,D6Bb
1011,BB
1012,D4A
1013,Q2AB
1014,D3Aa
1015,BPM
1016,D3Ab
1017,DSEXT
1018,S2A
1018,SQUAD
1018,HSTR
1018,VSTR
1019,DSEXT
1020,D2A
1021,Q1AB
1022,D1Aa
1023,BPM
1024,D1Ab
1025,DSEXT
1026,S1A
1026,SQUAD
1026,HSTR
1026,VSTR
1027,DSEXT
1028,D1A
1029,Q1AB
1030,D2A
1031,DSEXT
1032,DRIFT_S2A
1033,DRIFT_DRIFT_S2A
1034,DRIFT_DRIFT_S2A
1035,DSEXT
1036,D3A
1037,Q2AB
1038,D4Aa
1039,BPM
1040,D4Ab
1041,BB
1042,D6B
1043,DSEXT
1044,S2B
1044,HSTR
1044,VSTR
1045,DSEXT
1046,D5B
1047,Q3B
1048,D4Ba
1049,BPM
1050,D4Bb
1051,Q2B
1052,D3B
1053,DSEXT
1054,S1B
1054,SQUAD
1054,HSTR
1054,VSTR
1055,DSEXT
1056,D2B
1057,Q1B
1058,KD1
1059,BPM
1060,DBPM
1061,DRIFT
1062,DRIFT
1063,HTRIM
1064,VTRIM
1065,DRIFT
1066,MPW12
1067,DRIFT
1068,HTRIM
1069,VTRIM
1070,DRIFT
1071,DRIFT
1072,DBPM
1073,BPM
1074,KD1
1075,Q1B
1076,D2B
1077,DSEXT
1078,S1C
1078,SQUAD
1078,HSTR
1078,VSTR
1079,DSEXT
1080,D3B
1081,Q2B
1082,D4B
1083,Q3B
1084,D5B
1085,DSEXT
1086,S2C
1086,HSTR
1086,VSTR
1087,DSEXT
1088,D6Ba
1089,BPM
1090,D6Bb
1091,BB
1092,D4A
1093,Q2AB
1094,D3Aa
1095,BPM
1096,D3Ab
1097,DSEXT
1098,S2A
1098,SQUAD
1098,HSTR
1098,VSTR
1099,DSEXT
1100,D2A
1101,Q1AB
1102,D1Aa
1103,BPM
1104,D1Ab
1105,DSEXT
1106,S1A
1106,HSTR
1106,VSTR
1107,DSEXT
1108,D1A
1109,Q1AD
1110,D2A
1111,DSEXT
1112,S2A
1112,SQUAD
1112,HSTR
1112,VSTR
1113,DSEXT
1114,D3A
1115,Q2AD
1116,D4Aa
1117,BPM
1118,D4Ab
1119,BB
1120,D6B
1121,DSEXT
1122,S2D
1122,HSTR
1122,VSTR
1123,DSEXT
1124,D5B
1125,Q3D
1126,D4Ba
1127,BPM
1128,D4Bb
1129,Q2D
1130,D3B
1131,DSEXT
1132,S1D
1132,SQUAD
1132,HSTR
1132,VSTR
1133,DSEXT
1134,D2B
1135,Q1D
1136,D13_1
1137,QM13
1138,D13_2
1139,DRIFT
1140,HCHICA
1141,DRIFT
1142,D13_3
1143,BPM
1144,DRIFT
1145,HTRIM
1146,VTRIM
1147,DRIFT
1148,DRIFT
1149,source
1150,DRIFT
1151,DRIFT
1152,HTRIM
1153,VTRIM
1154,DRIFT
1155,BPM
1156,D13_5
1157,HSTR
1158,VSTR
1159,D13_6
1160,DRIFT
1161,HCHICA
1162,DRIFT
1163,D13_7
1164,QM13
1165,D13_8
1166,QM13
1167,D13_9
1168,BPM
1169,D13_10
1170,HSTR
1171,VSTR
1172,DRIFT
1173,HTRIM
1174,VTRIM
1175,DRIFT
1176,DRIFT
1177,source
1178,DRIFT
1179,DRIFT
1180,HTRIM
1181,VTRIM
1182,DRIFT
1183,BPM
1184,D13_12
1185,DRIFT
1186,HCHICA
1187,DRIFT
1188,D13_13
1189,QM13
1190,D13_14
1191,Q1D
1192,D2B
1193,DSEXT
1194,S1D
1194,SQUAD
1194,HSTR
1194,VSTR
1195,DSEXT
1196,D3B
1197,Q2D
1198,D4B
1199,Q3D
1200,D5B
1201,DSEXT
1202,S2D
1202,HSTR
1202,VSTR
1203,DSEXT
1204,D6Ba
1205,BPM
1206,D6Bb
1207,BB
1208,D4A
1209,Q2AD
1210,D3Aa
1211,BPM
1212,D3Ab
1213,DSEXT
1214,S2A
1214,SQUAD
1214,HSTR
1214,VSTR
1215,DSEXT
1216,D2A
1217,Q1AD
1218,D1Aa
1219,BPM
1220,D1Ab
1221,DSEXT
1222,S1A
1222,HSTR
1222,VSTR
1223,DSEXT
1224,D1A
1225,Q1AB
1226,D2A
1227,DSEXT
1228,S2A
1228,SQUAD
1228,HSTR
1228,VSTR
1229,DSEXT
1230,D3A
1231,Q2AB
1232,D4Aa
1233,BPM
1234,D4Ab
1235,BB
1236,D6B
1237,DSEXT
1238,S2C
1238,HSTR
1238,VSTR
1239,DSEXT
1240,D5B
1241,Q3B
1242,D4Ba
1243,BPM
1244,D4Bb
1245,Q2B
1246,D3B
1247,DSEXT
1248,S1C
1248,SQUAD
1248,HSTR
1248,VSTR
1249,DSEXT
1250,D2B
1251,Q1B
1252,KD1
1253,BPM
1254,DBPM
1255,DRIFT
1256,HTRIM
1257,VTRIM
1258,DRIFT
1259,DRIFT
1260,source
1261,DRIFT
1262,DRIFT
1263,HTRIM
1264,VTRIM
1265,DRIFT
1266,DBPM
1267,BPM
1268,KD1
1269,Q1B
1270,D2B
1271,DSEXT
1272,S1B
1272,SQUAD
1272,HSTR
1272,VSTR
1273,DSEXT
1274,D3B
1275,Q2B
1276,D4B
1277,Q3B
1278,D5B
1279,DSEXT
1280,S2B
1280,HSTR
1280,VSTR
1281,DSEXT
1282,D6Ba
1283,BPM
1284,D6Bb
1285,BB
1286,D4A
1287,Q2AB
1288,D3Aa
1289,BPM
1290,D3Ab
1291,DSEXT
1292,S2A
1292,SQUAD
1292,HSTR
1292,VSTR
1293,DSEXT
1294,D2A
1295,Q1AB
1296,D1Aa
1297,BPM
1298,D1Ab
1299,DSEXT
1300,S1A
1300,HSTR
1300,VSTR
1301,DSEXT
1302,D1A
1303,Q1AB
1304,D2A
1305,DSEXT
1306,S2A
1306,SQUAD
1306,HSTR
1306,VSTR
1307,DSEXT
1308,D3A
1309,Q2AB
1310,D4Aa
1311,BPM
1312,D4Ab
1313,BB
1314,D6B
1315,DSEXT
1316,S2B
1316,HSTR
1316,VSTR
1317,DSEXT
1318,D5B
1319,Q3B
1320,D4Ba
1321,BPM
1322,D4Bb
1323,Q2B
1324,D3B
1325,DSEXT
1326,S1B
1326,SQUAD
1326,HSTR
1326,VSTR
1327,DSEXT
1328,D2B
1329,Q1B
1330,KD1
1331,BPM
1332,DBPM
1333,DRIFT
1334,DRIFT
1335,HTRIM
1336,VTRIM
1337,DRIFT
1338,MPW15
1339,DRIFT
1340,HTRIM
1341,VTRIM
1342,DRIFT
1343,DRIFT
1344,DBPM
1345,BPM
1346,KD1
1347,Q1B
1348,D2B
1349,DSEXT
1350,S1B
1350,SQUAD
1350,HSTR
1350,VSTR
1351,DSEXT
1352,D3B
1353,Q2B
1354,D4B
1355,Q3B
1356,D5B
1357,DSEXT
1358,S2B
1358,HSTR
1358,VSTR
1359,DSEXT
1360,D6Ba
1361,BPM
1362,D6Bb
1363,BB
1364,D4A
1365,Q2AB
1366,D3Aa
1367,BPM
1368,D3Ab
1369,DSEXT
1370,S2A
1370,SQUAD
1370,HSTR
1370,VSTR
1371,DSEXT
1372,D2A
1373,Q1AB
1374,D1Aa
1375,BPM
1376,D1Ab
1377,DSEXT
1378,S1A
1378,HSTR
1378,VSTR
1379,DSEXT
1380,D1A
1381,Q1AB
1382,D2A
1383,DSEXT
1384,S2A
1384,SQUAD
1384,HSTR
1384,VSTR
1385,DSEXT
1386,D3A
1387,Q2AB
1388,D4Aa
1389,BPM
1390,D4Ab
1391,BB
1392,D6B
1393,DSEXT
1394,S2B
1394,HSTR
1394,VSTR
1395,DSEXT
1396,D5B
1397,Q3B
1398,D4Ba
1399,BPM
1400,D4Bb
1401,Q2B
1402,D3B
1403,DSEXT
1404,S1B
1404,SQUAD
1404,HSTR
1404,VSTR
1405,DSEXT
1406,D2B
1407,Q1B
1408,KD1
1409,BPM
1410,DBPM
1411,DRIFT
1412,DRIFT
1413,HTRIM
1414,VTRIM
1415,DRIFT
1416,U27
1417,source
1418,U27
1419,DRIFT
1420,HTRIM
1421,VTRIM
1422,DRIFT
1423,DRIFT
1424,DBPM
1425,BPM
1426,KD1
1427,Q1B
1428,D2B
1429,DSEXT
1430,S1C
1430,SQUAD
1430,HSTR
1430,VSTR
1431,DSEXT
1432,D3B
1433,Q2B
1434,D4B
1435,Q3B
1436,D5B
1437,DSEXT
1438,S2C
1438,HSTR
1438,VSTR
1439,DSEXT
1440,D6Ba
1441,BPM
1442,D6Bb
1443,BB
1444,D4A
1445,Q2AB
1446,D3Aa
1447,BPM
1448,D3Ab
1449,DSEXT
1450,S2A
1450,SQUAD
1450,HSTR
1450,VSTR
1451,DSEXT
1452,D2A
1453,Q1AB
1454,D1Aa
1455,BPM
1456,D1Ab
1457,DSEXT
1458,S1A
1458,HSTR
1458,VSTR
1459,DSEXT
1460,D1A
1461,Q1AD
1462,D2A
1463,DSEXT
1464,S2A
1464,SQUAD
1464,HSTR
1464,VSTR
1465,DSEXT
1466,D3A
1467,Q2AD
1468,D4Aa
1469,BPM
1470,D4Ab
1471,source
1472,BB
1473,D6B
1474,DSEXT
1475,S2D
1475,HSTR
1475,VSTR
1476,DSEXT
1477,D5B
1478,Q3D
1479,D4Ba
1480,BPM
1481,D4Bb
1482,Q2D
1483,D3B
1484,DSEXT
1485,S1D
1485,SQUAD
1485,HSTR
1485,VSTR
1486,DSEXT
1487,D2B
1488,Q1D
1489,KD1
1490,BPM
1491,D1D2
1492,RF
1493,AP
1494,D1D2
1495,BPM
1496,KD1
1497,Q1D
1498,D2B
1499,DSEXT
1500,S1D
1500,SQUAD
1500,HSTR
1500,VSTR
1501,DSEXT
1502,D3B
1503,Q2D
1504,D4B
1505,Q3D
1506,D5B
1507,DSEXT
1508,S2D
1508,HSTR
1508,VSTR
1509,DSEXT
1510,D6Ba
1511,BPM
1512,D6Bb
1513,BB
1514,D4A
1515,Q2AD
1516,D3Aa
1517,BPM
1518,D3Ab
1519,DSEXT
1520,S2A
1520,SQUAD
1520,HSTR
1520,VSTR
1521,DSEXT
1522,D2A
1523,Q1AD
1524,D1Aa
1525,BPM
1526,D1Ab
1527,DSEXT
1528,S1A
1528,HSTR
1528,VSTR
1529,DSEXT
1530,D1A
1531,Q1AB
1532,D2A
1533,DSEXT
1534,S2A
1534,SQUAD
1534,HSTR
1534,VSTR
1535,DSEXT
1536,D3A
1537,Q2AB
1538,D4Aa
1539,BPM
1540,D4Ab
1541,BB
1542,D6B
1543,DSEXT
1544,S2C
1544,HSTR
1544,VSTR
1545,DSEXT
1546,D5B
1547,Q3B
1548,D4Ba
1549,BPM
