id,name,type,length
363,,DRIFT,0.158300
364,,BPM,0.000000
365,,DRIFT,0.263500
366,,DRIFT,0.005000
367,,SEXT,0.190000
368,,DRIFT,0.005000
369,,DRIFT,0.195200
370,,QUAD,0.407600
371,,DRIFT,0.118700
372,,BPM,0.000000
373,,DRIFT,0.116000
374,,DRIFT,0.005000
375,,SEXT,0.290000
376,,DRIFT,0.005000
377,,DRIFT,0.234700
378,,QUAD,0.407600
379,,DRIFT,0.195200
380,,DRIFT,0.005000
381,,SEXT,0.190000
382,,DRIFT,0.005000
383,,DRIFT,0.421800
384,,QUAD,0.406400
385,,DRIFT,0.101800
386,,BPM,0.000000
387,,DRIFT,0.484000
388,,BEND,0.933000
389,,DRIFT,0.669000
390,,DRIFT,0.005000
391,,SEXT,0.290000
392,,DRIFT,0.005000
393,,DRIFT,0.196500
394,,QUAD,0.307000
395,,DRIFT,0.173000
396,,BPM,0.000000
397,,DRIFT,0.285350
398,,QUAD,0.606300
399,,DRIFT,0.231850
400,,DRIFT,0.005000
401,,SEXT,0.290000
402,,DRIFT,0.005000
403,,DRIFT,0.146800
404,,QUAD,0.406400
405,,DRIFT,1.288300
406,,BPM,0.000000
407,,DRIFT,0.002500
408,,DRIFT,1.172500
409,,DRIFT,0.150000
410,,HTRIM,0.000000
411,,VTRIM,0.000000
412,,DRIFT,0.150000
413,,DRIFT,2.905000
414,,source,0.000000
415,,DRIFT,2.905000
416,,DRIFT,0.150000
417,,HTRIM,0.000000
418,,VTRIM,0.000000
419,,DRIFT,0.150000
420,,AP,0.000000
421,,DRIFT,1.172500
422,,DRIFT,0.002500
423,,BPM,0.000000
424,,DRIFT,1.288300
425,,QUAD,0.406400
426,,DRIFT,0.146800
427,,DRIFT,0.005000
428,,SEXT,0.290000
429,,DRIFT,0.005000
430,,DRIFT,0.231850
431,,QUAD,0.606300
432,,DRIFT,0.458350
433,,QUAD,0.307000
434,,DRIFT,0.196500
435,,DRIFT,0.005000
436,,SEXT,0.290000
437,,DRIFT,0.005000
438,,DRIFT,0.185000
439,,BPM,0.000000
440,,DRIFT,0.484000
441,,BEND,0.933000
442,,DRIFT,0.585800
443,,QUAD,0.406400
444,,DRIFT,0.158300
445,,BPM,0.000000
446,,DRIFT,0.263500
447,,DRIFT,0.005000
448,,SEXT,0.190000
449,,DRIFT,0.005000
450,,DRIFT,0.195200
451,,QUAD,0.407600
452,,DRIFT,0.118700
453,,BPM,0.000000
454,,DRIFT,0.116000
455,,DRIFT,0.005000
456,,SEXT,0.290000
457,,DRIFT,0.005000
458,,DRIFT,0.234700
459,,QUAD,0.407600
460,,DRIFT,0.195200
461,,DRIFT,0.005000
462,,SEXT,0.190000
463,,DRIFT,0.005000
464,,DRIFT,0.421800
465,,QUAD,0.406400
466,,DRIFT,0.101800
467,,BPM,0.000000
468,,DRIFT,0.484000
469,,BEND,0.933000
470,,DRIFT,0.669000
471,,DRIFT,0.005000
472,,SEXT,0.290000
473,,DRIFT,0.005000
474,,DRIFT,0.196500
475,,QUAD,0.307000
476,,DRIFT,0.173000
477,,BPM,0.000000
478,,DRIFT,0.285350
479,,QUAD,0.606300
480,,DRIFT,0.231850
481,,DRIFT,0.005000
482,,SEXT,0.290000
483,,DRIFT,0.005000
484,,DRIFT,0.146800
485,,QUAD,0.406400
486,,DRIFT,1.288300
487,,BPM,0.000000
488,,DRIFT,0.002500
489,,DRIFT,0.465500
490,,DRIFT,0.075000
491,,HTRIM,0.000000
492,,VTRIM,0.000000
493,,DRIFT,0.075000
494,,DRIFT,1.056000
495,,source,0.000000
496,,DRIFT,1.056000
497,,DRIFT,0.075000
498,,HTRIM,0.000000
499,,VTRIM,0.000000
500,,DRIFT,0.075000
501,,DRIFT,0.075000
502,,HTRIM,0.000000
503,,VTRIM,0.000000
504,,DRIFT,0.075000
505,,DRIFT,1.056000
506,,source,0.000000
507,,DRIFT,1.056000
508,,DRIFT,0.075000
509,,HTRIM,0.000000
510,,VTRIM,0.000000
511,,DRIFT,0.075000
512,,DRIFT,0.465500
513,,DRIFT,0.002500
514,,BPM,0.000000
515,,DRIFT,1.288300
516,,QUAD,0.406400
517,,DRIFT,0.146800
518,,DRIFT,0.005000
519,,SEXT,0.290000
520,,DRIFT,0.005000
521,,DRIFT,0.231850
522,,QUAD,0.606300
523,,DRIFT,0.458350
524,,QUAD,0.307000
525,,DRIFT,0.196500
526,,DRIFT,0.005000
527,,SEXT,0.290000
528,,DRIFT,0.005000
529,,DRIFT,0.185000
530,,BPM,0.000000
