el_id,field,uc_type,uc_id
1462,y_kick,poly,502
1473,y_kick,poly,503
1483,y_kick,poly,504
1498,y_kick,poly,505
1506,y_kick,poly,506
1518,y_kick,poly,507
1526,y_kick,poly,508
1532,y_kick,poly,509
1542,y_kick,poly,510
1552,y_kick,poly,511
1578,y_kick,poly,512
1586,y_kick,poly,513
1598,y_kick,poly,514
1606,y_kick,poly,515
1612,y_kick,poly,516
1623,y_kick,poly,517
1633,y_kick,poly,518
1657,y_kick,poly,519
1665,y_kick,poly,520
1677,y_kick,poly,521
1685,y_kick,poly,522
1691,y_kick,poly,523
1701,y_kick,poly,524
1711,y_kick,poly,525
1766,y_kick,poly,526
1774,y_kick,poly,527
1786,y_kick,poly,528
1794,y_kick,poly,529
1800,y_kick,poly,530
1810,y_kick,poly,531
1820,y_kick,poly,532
1844,y_kick,poly,533
1852,y_kick,poly,534
1864,y_kick,poly,535
1872,y_kick,poly,536
1878,y_kick,poly,537
1889,y_kick,poly,538
1899,y_kick,poly,539
1923,y_kick,poly,540
1931,y_kick,poly,541
1943,y_kick,poly,542
1951,y_kick,poly,543
1957,y_kick,poly,544
1968,y_kick,poly,545
1978,y_kick,poly,546
2002,y_kick,poly,547
2010,y_kick,poly,548
2022,y_kick,poly,549
2030,y_kick,poly,550
2036,y_kick,poly,551
2047,y_kick,poly,552
2057,y_kick,poly,553
2081,y_kick,poly,554
2089,y_kick,poly,555
2101,y_kick,poly,556
2109,y_kick,poly,557
2115,y_kick,poly,558
2126,y_kick,poly,559
2136,y_kick,poly,560
