el_id,field,uc_type,uc_id,phys_units,eng_units,lower_lim,upper_lim
861,y,poly,118,mm,m,,
871,x,poly,118,mm,m,,
871,y,poly,118,mm,m,,
921,x,poly,118,mm,m,,
921,y,poly,118,mm,m,,
937,x,poly,118,mm,m,,
937,y,poly,118,mm,m,,
943,x,poly,118,mm,m,,
943,y,poly,118,mm,m,,
951,x,poly,118,mm,m,,
951,y,poly,118,mm,m,,
965,x,poly,118,mm,m,,
965,y,poly,118,mm,m,,
975,x,poly,118,mm,m,,
975,y,poly,118,mm,m,,
985,x,poly,118,mm,m,,
985,y,poly,118,mm,m,,
1013,x,poly,118,mm,m,,
1013,y,poly,118,mm,m,,
1029,x,poly,118,mm,m,,
1029,y,poly,118,mm,m,,
1035,x,poly,118,mm,m,,
1035,y,poly,118,mm,m,,
1043,x,poly,118,mm,m,,
1043,y,poly,118,mm,m,,
1059,x,poly,118,mm,m,,
1059,y,poly,118,mm,m,,
1069,x,poly,118,mm,m,,
1069,y,poly,118,mm,m,,
1079,x,poly,118,mm,m,,
1079,y,poly,118,mm,m,,
1094,x,poly,118,mm,m,,
1094,y,poly,118,mm,m,,
1110,x,poly,118,mm,m,,
1110,y,poly,118,mm,m,,
1116,x,poly,118,mm,m,,
1116,y,poly,118,mm,m,,
1124,x,poly,118,mm,m,,
1124,y,poly,118,mm,m,,
1138,x,poly,118,mm,m,,
1138,y,poly,118,mm,m,,
1148,x,poly,118,mm,m,,
1148,y,poly,118,mm,m,,
1164,x,poly,118,mm,m,,
1164,y,poly,118,mm,m,,
1176,x,poly,118,mm,m,,
1176,y,poly,118,mm,m,,
1189,x,poly,118,mm,m,,
1189,y,poly,118,mm,m,,
1204,x,poly,118,mm,m,,
1204,y,poly,118,mm,m,,
1226,x,poly,118,mm,m,,
1226,y,poly,118,mm,m,,
1232,x,poly,118,mm,m,,
1232,y,poly,118,mm,m,,
1240,x,poly,118,mm,m,,
1240,y,poly,118,mm,m,,
1254,x,poly,118,mm,m,,
1254,y,poly,118,mm,m,,
1264,x,poly,118,mm,m,,
1264,y,poly,118,mm,m,,
1274,x,poly,118,mm,m,,
1274,y,poly,118,mm,m,,
1288,x,poly,118,mm,m,,
1288,y,poly,118,mm,m,,
1304,x,poly,118,mm,m,,
1304,y,poly,118,mm,m,,
1310,x,poly,118,mm,m,,
1310,y,poly,118,mm,m,,
1318,x,poly,118,mm,m,,
1318,y,poly,118,mm,m,,
1332,x,poly,118,mm,m,,
1332,y,poly,118,mm,m,,
1342,x,poly,118,mm,m,,
1342,y,poly,118,mm,m,,
1352,x,poly,118,mm,m,,
1352,y,poly,118,mm,m,,
1367,x,poly,118,mm,m,,
1367,y,poly,118,mm,m,,
1383,x,poly,118,mm,m,,
1383,y,poly,118,mm,m,,
1389,x,poly,118,mm,m,,
1389,y,poly,118,mm,m,,
1397,x,poly,118,mm,m,,
1397,y,poly,118,mm,m,,
1411,x,poly,118,mm,m,,
1411,y,poly,118,mm,m,,
1421,x,poly,118,mm,m,,
1421,y,poly,118,mm,m,,
1431,x,poly,118,mm,m,,
1431,y,poly,118,mm,m,,
1447,x,poly,118,mm,m,,
1447,y,poly,118,mm,m,,
1463,x,poly,118,mm,m,,
1463,y,poly,118,mm,m,,
1469,x,poly,118,mm,m,,
1469,y,poly,118,mm,m,,
1477,x,poly,118,mm,m,,
1477,y,poly,118,mm,m,,
1491,x,poly,118,mm,m,,
1491,y,poly,118,mm,m,,
1502,x,poly,118,mm,m,,
1502,y,poly,118,mm,m,,
1512,x,poly,118,mm,m,,
1512,y,poly,118,mm,m,,
1517,x,poly,118,mm,m,,
1517,y,poly,118,mm,m,,
1533,x,poly,118,mm,m,,
1533,y,poly,118,mm,m,,
1539,x,poly,118,mm,m,,
1539,y,poly,118,mm,m,,
1547,x,poly,118,mm,m,,
1547,y,poly,118,mm,m,,
1561,x,poly,118,mm,m,,
1561,y,poly,118,mm,m,,
1571,x,poly,118,mm,m,,
1571,y,poly,118,mm,m,,
1581,x,poly,118,mm,m,,
1581,y,poly,118,mm,m,,
1597,x,poly,118,mm,m,,
1597,y,poly,118,mm,m,,
1613,x,poly,118,mm,m,,
1613,y,poly,118,mm,m,,
1619,x,poly,118,mm,m,,
1619,y,poly,118,mm,m,,
1627,x,poly,118,mm,m,,
1627,y,poly,118,mm,m,,
1641,x,poly,118,mm,m,,
1641,y,poly,118,mm,m,,
1652,x,poly,118,mm,m,,
1652,y,poly,118,mm,m,,
1662,x,poly,118,mm,m,,
1662,y,poly,118,mm,m,,
1690,x,poly,118,mm,m,,
1690,y,poly,118,mm,m,,
1706,x,poly,118,mm,m,,
1706,y,poly,118,mm,m,,
1712,x,poly,118,mm,m,,
1712,y,poly,118,mm,m,,
1720,x,poly,118,mm,m,,
1720,y,poly,118,mm,m,,
1734,x,poly,118,mm,m,,
1734,y,poly,118,mm,m,,
1744,x,poly,118,mm,m,,
1744,y,poly,118,mm,m,,
1754,x,poly,118,mm,m,,
1754,y,poly,118,mm,m,,
1798,x,poly,118,mm,m,,
1798,y,poly,118,mm,m,,
1815,x,poly,118,mm,m,,
1815,y,poly,118,mm,m,,
1821,x,poly,118,mm,m,,
1821,y,poly,118,mm,m,,
1829,x,poly,118,mm,m,,
1829,y,poly,118,mm,m,,
1843,x,poly,118,mm,m,,
1843,y,poly,118,mm,m,,
1853,x,poly,118,mm,m,,
1853,y,poly,118,mm,m,,
1863,x,poly,118,mm,m,,
1863,y,poly,118,mm,m,,
1877,x,poly,118,mm,m,,
1877,y,poly,118,mm,m,,
1893,x,poly,118,mm,m,,
1893,y,poly,118,mm,m,,
1899,x,poly,118,mm,m,,
1899,y,poly,118,mm,m,,
1907,x,poly,118,mm,m,,
1907,y,poly,118,mm,m,,
1921,x,poly,118,mm,m,,
1921,y,poly,118,mm,m,,
1932,x,poly,118,mm,m,,
1932,y,poly,118,mm,m,,
1942,x,poly,118,mm,m,,
1942,y,poly,118,mm,m,,
1956,x,poly,118,mm,m,,
1956,y,poly,118,mm,m,,
1972,x,poly,118,mm,m,,
1972,y,poly,118,mm,m,,
1978,x,poly,118,mm,m,,
1978,y,poly,118,mm,m,,
1986,x,poly,118,mm,m,,
1986,y,poly,118,mm,m,,
2000,x,poly,118,mm,m,,
2000,y,poly,118,mm,m,,
2011,x,poly,118,mm,m,,
2011,y,poly,118,mm,m,,
2021,x,poly,118,mm,m,,
2021,y,poly,118,mm,m,,
2035,x,poly,118,mm,m,,
2035,y,poly,118,mm,m,,
2051,x,poly,118,mm,m,,
2051,y,poly,118,mm,m,,
2057,x,poly,118,mm,m,,
2057,y,poly,118,mm,m,,
2065,x,poly,118,mm,m,,
2065,y,poly,118,mm,m,,
2079,x,poly,118,mm,m,,
2079,y,poly,118,mm,m,,
2090,x,poly,118,mm,m,,
2090,y,poly,118,mm,m,,
2100,x,poly,118,mm,m,,
2100,y,poly,118,mm,m,,
2128,x,poly,118,mm,m,,
2128,y,poly,118,mm,m,,
2144,x,poly,118,mm,m,,
2144,y,poly,118,mm,m,,
2150,x,poly,118,mm,m,,
2150,y,poly,118,mm,m,,
2158,x,poly,118,mm,m,,
2158,y,poly,118,mm,m,,
2172,x,poly,118,mm,m,,
2172,y,poly,118,mm,m,,
2183,x,poly,118,mm,m,,
2183,y,poly,118,mm,m,,
2193,x,poly,118,mm,m,,
2193,y,poly,118,mm,m,,
75,x_kick,poly,119,,A,-5,5
82,x_kick,poly,120,,A,-5,5
150,x_kick,poly,121,,A,-5,5
157,x_kick,poly,122,,A,-5,5
226,x_kick,poly,123,,A,-5,5
233,x_kick,poly,124,,A,-5,5
318,x_kick,poly,125,,A,-5,5
325,x_kick,poly,126,,A,-5,5
333,x_kick,poly,127,,A,-4,4
340,x_kick,poly,128,,A,-4,4
416,x_kick,poly,129,,A,-5,5
423,x_kick,poly,130,,A,-5,5
497,x_kick,poly,131,,A,-5,5
504,x_kick,poly,132,,A,-5,5
508,x_kick,poly,133,,A,-5,5
515,x_kick,poly,134,,A,-5,5
592,x_kick,poly,135,,A,-5,5
599,x_kick,poly,136,,A,-5,5
680,x_kick,poly,137,,A,-5,5
687,x_kick,poly,138,,A,-5,5
763,x_kick,poly,139,,A,-5,5
770,x_kick,poly,140,,A,-5,5
791,x_kick,poly,141,,A,-5,5
798,x_kick,poly,142,,A,-5,5
882,x_kick,poly,143,,A,-5,5
889,x_kick,poly,144,,A,-5,5
902,x_kick,poly,145,,A,-5,5
909,x_kick,poly,146,,A,-5,5
993,x_kick,poly,147,,A,-5,5
1000,x_kick,poly,148,,A,-5,5
1083,x_kick,poly,149,,A,-5,5
1089,x_kick,poly,150,,A,-5,5
1166,x_kick,poly,151,,A,-5,5
1173,x_kick,poly,152,,A,-5,5
1194,x_kick,poly,153,,A,-5,5
1201,x_kick,poly,154,,A,-5,5
1277,x_kick,poly,155,,A,-5,5
1284,x_kick,poly,156,,A,-5,5
1356,x_kick,poly,157,,A,-5,5
1362,x_kick,poly,158,,A,-5,5
1435,x_kick,poly,159,,A,-5,5
1442,x_kick,poly,160,,A,-5,5
1585,x_kick,poly,161,,A,-5,5
1592,x_kick,poly,162,,A,-5,5
1670,x_kick,poly,163,,A,-5,5
1677,x_kick,poly,164,,A,-5,5
1764,x_kick,poly,165,,A,-5,5
1774,x_kick,poly,166,,A,-5,5
1783,x_kick,poly,167,,A,-5,5
1788,x_kick,poly,168,,A,-5,5
1866,x_kick,poly,169,,A,-5,5
1873,x_kick,poly,170,,A,-5,5
1945,x_kick,poly,171,,A,-5,5
1952,x_kick,poly,172,,A,-5,5
2024,x_kick,poly,173,,A,-5,5
2031,x_kick,poly,174,,A,-5,5
2108,x_kick,poly,175,,A,-5,5
2115,x_kick,poly,176,,A,-5,5
76,x_kick,poly,177,,A,-5,5
83,x_kick,poly,178,,A,-5,5
151,x_kick,poly,179,,A,-5,5
158,x_kick,poly,180,,A,-5,5
227,x_kick,poly,181,,A,-5,5
234,x_kick,poly,182,,A,-5,5
319,x_kick,poly,183,,A,-5,5
326,x_kick,poly,184,,A,-5,5
334,x_kick,poly,185,,A,-4,4
341,x_kick,poly,186,,A,-4,4
417,x_kick,poly,187,,A,-5,5
424,x_kick,poly,188,,A,-5,5
498,x_kick,poly,189,,A,-5,5
505,x_kick,poly,190,,A,-5,5
509,x_kick,poly,191,,A,-5,5
516,x_kick,poly,192,,A,-5,5
593,x_kick,poly,193,,A,-5,5
600,x_kick,poly,194,,A,-5,5
681,x_kick,poly,195,,A,-5,5
688,x_kick,poly,196,,A,-5,5
764,x_kick,poly,197,,A,-5,5
771,x_kick,poly,198,,A,-5,5
792,x_kick,poly,199,,A,-5,5
799,x_kick,poly,200,,A,-5,5
883,x_kick,poly,201,,A,-5,5
890,x_kick,poly,202,,A,-5,5
903,x_kick,poly,203,,A,-5,5
910,x_kick,poly,204,,A,-5,5
994,x_kick,poly,205,,A,-5,5
1001,x_kick,poly,206,,A,-5,5
1084,x_kick,poly,207,,A,-5,5
1090,x_kick,poly,208,,A,-5,5
1167,x_kick,poly,209,,A,-5,5
1174,x_kick,poly,210,,A,-5,5
1195,x_kick,poly,211,,A,-5,5
1202,x_kick,poly,212,,A,-5,5
1278,x_kick,poly,213,,A,-5,5
1285,x_kick,poly,214,,A,-5,5
1357,x_kick,poly,215,,A,-5,5
1363,x_kick,poly,216,,A,-5,5
1436,x_kick,poly,217,,A,-5,5
1443,x_kick,poly,218,,A,-5,5
1586,x_kick,poly,219,,A,-5,5
1593,x_kick,poly,220,,A,-5,5
1671,x_kick,poly,221,,A,-5,5
1678,x_kick,poly,222,,A,-5,5
1765,x_kick,poly,223,,A,-5,5
1775,x_kick,poly,224,,A,-5,5
1784,x_kick,poly,225,,A,-5,5
1789,x_kick,poly,226,,A,-5,5
1867,x_kick,poly,227,,A,-5,5
1874,x_kick,poly,228,,A,-5,5
1946,x_kick,poly,229,,A,-5,5
1953,x_kick,poly,230,,A,-5,5
2025,x_kick,poly,231,,A,-5,5
2032,x_kick,poly,232,,A,-5,5
2109,x_kick,poly,233,,A,-5,5
2116,x_kick,poly,234,,A,-5,5
8,a1,pchip,235,m^-2,A,-5,5
28,a1,pchip,236,m^-2,A,-5,5
42,a1,pchip,237,m^-2,A,-5,5
62,a1,pchip,238,m^-2,A,-5,5
101,a1,pchip,239,m^-2,A,-5,5
126,a1,pchip,240,m^-2,A,-5,5
130,a1,pchip,241,m^-2,A,-5,5
185,a1,pchip,242,m^-2,A,-5,5
189,a1,pchip,243,m^-2,A,-5,5
208,a1,pchip,244,m^-2,A,-5,5
251,a1,pchip,245,m^-2,A,-5,5
271,a1,pchip,246,m^-2,A,-5,5
285,a1,pchip,247,m^-2,A,-5,5
305,a1,pchip,248,m^-2,A,-5,5
353,a1,pchip,249,m^-2,A,-5,5
373,a1,pchip,250,m^-2,A,-5,5
387,a1,pchip,251,m^-2,A,-5,5
407,a1,pchip,252,m^-2,A,-5,5
434,a1,pchip,253,m^-2,A,-5,5
454,a1,pchip,254,m^-2,A,-5,5
468,a1,pchip,255,m^-2,A,-5,5
488,a1,pchip,256,m^-2,A,-5,5
525,a1,pchip,257,m^-2,A,-5,5
545,a1,pchip,258,m^-2,A,-5,5
559,a1,pchip,259,m^-2,A,-5,5
579,a1,pchip,260,m^-2,A,-5,5
617,a1,pchip,261,m^-2,A,-5,5
637,a1,pchip,262,m^-2,A,-5,5
651,a1,pchip,263,m^-2,A,-5,5
672,a1,pchip,264,m^-2,A,-5,5
696,a1,pchip,265,m^-2,A,-5,5
716,a1,pchip,266,m^-2,A,-5,5
730,a1,pchip,267,m^-2,A,-5,5
750,a1,pchip,268,m^-2,A,-5,5
812,a1,pchip,269,m^-2,A,-5,5
832,a1,pchip,270,m^-2,A,-5,5
846,a1,pchip,271,m^-2,A,-5,5
866,a1,pchip,272,m^-2,A,-5,5
926,a1,pchip,273,m^-2,A,-5,5
946,a1,pchip,274,m^-2,A,-5,5
960,a1,pchip,275,m^-2,A,-5,5
980,a1,pchip,276,m^-2,A,-5,5
1018,a1,pchip,277,m^-2,A,-5,5
1038,a1,pchip,278,m^-2,A,-5,5
1046,a1,pchip,279,m^-2,A,-5,5
1074,a1,pchip,280,m^-2,A,-5,5
1099,a1,pchip,281,m^-2,A,-5,5
1119,a1,pchip,282,m^-2,A,-5,5
1133,a1,pchip,283,m^-2,A,-5,5
1153,a1,pchip,284,m^-2,A,-5,5
1215,a1,pchip,285,m^-2,A,-5,5
1235,a1,pchip,286,m^-2,A,-5,5
1249,a1,pchip,287,m^-2,A,-5,5
1269,a1,pchip,288,m^-2,A,-5,5
1293,a1,pchip,289,m^-2,A,-5,5
1313,a1,pchip,290,m^-2,A,-5,5
1327,a1,pchip,291,m^-2,A,-5,5
1347,a1,pchip,292,m^-2,A,-5,5
1372,a1,pchip,293,m^-2,A,-5,5
1392,a1,pchip,294,m^-2,A,-5,5
1406,a1,pchip,295,m^-2,A,-5,5
1426,a1,pchip,296,m^-2,A,-5,5
1452,a1,pchip,297,m^-2,A,-5,5
1472,a1,pchip,298,m^-2,A,-5,5
1486,a1,pchip,299,m^-2,A,-5,5
1507,a1,pchip,300,m^-2,A,-5,5
1522,a1,pchip,301,m^-2,A,-5,5
1542,a1,pchip,302,m^-2,A,-5,5
1556,a1,pchip,303,m^-2,A,-5,5
1576,a1,pchip,304,m^-2,A,-5,5
1602,a1,pchip,305,m^-2,A,-5,5
1622,a1,pchip,306,m^-2,A,-5,5
1636,a1,pchip,307,m^-2,A,-5,5
