id,name,field,get_pv,set_pv,enable_pv,enable_value
169,SR02A-PC-Q3E-07,b1,:I,:SETI,,
173,SR02C-DI-EBPM-06,x,:SA:X,,:CF:ENABLED_S,1
173,SR02C-DI-EBPM-06,y,:SA:Y,,:CF:ENABLED_S,1
175,SR02A-PC-S4E-07,b2,:I,:SETI,,
175,SR02A-PC-HSTR-07,b0,:I,:SETI,,
175,SR02A-PC-VSTR-07,a0,:I,:SETI,,
177,SR02A-PC-Q3E-08,b1,:I,:SETI,,
179,SR02A-PC-S3E-08,b2,:I,:SETI,,
179,SR02A-PC-HSTR-08,b0,:I,:SETI,,
179,SR02A-PC-VSTR-08,a0,:I,:SETI,,
183,SR02C-DI-EBPM-07,x,:SA:X,,:CF:ENABLED_S,1
183,SR02C-DI-EBPM-07,y,:SA:Y,,:CF:ENABLED_S,1
185,SR-PC-DIPOL-01,b0,:I,:SETI,,
190,SR02A-PC-S2BE-09,b2,:I,:SETI,,
194,SR02A-PC-Q2BE-09,b1,:I,:SETI,,
198,SR02A-PC-S1BE-10,b2,:I,:SETI,,
198,SR02A-PC-HSTR-10,b0,:I,:SETI,,
198,SR02A-PC-VSTR-10,a0,:I,:SETI,,
200,SR02A-PC-Q1BE-10,b1,:I,:SETI,,
208,SR02C-DI-EBPM-08,x,:SA:X,,:CF:ENABLED_S,1
208,SR02C-DI-EBPM-08,y,:SA:Y,,:CF:ENABLED_S,1
236,SR03C-DI-EBPM-01,x,:SA:X,,:CF:ENABLED_S,1
236,SR03C-DI-EBPM-01,y,:SA:Y,,:CF:ENABLED_S,1
238,SR03A-PC-Q1B-01,b1,:I,:SETI,,
241,SR03A-PC-S1B-01,b2,:I,:SETI,,
241,SR03A-PC-HSTR-01,b0,:I,:SETI,,
241,SR03A-PC-VSTR-01,a0,:I,:SETI,,
244,SR03A-PC-Q2B-02,b1,:I,:SETI,,
246,SR03A-PC-Q3B-03,b1,:I,:SETI,,
249,SR03A-PC-S2B-02,b2,:I,:SETI,,
249,SR03A-PC-HSTR-02,b0,:I,:SETI,,
249,SR03A-PC-VSTR-02,a0,:I,:SETI,,
252,SR03C-DI-EBPM-02,x,:SA:X,,:CF:ENABLED_S,1
252,SR03C-DI-EBPM-02,y,:SA:Y,,:CF:ENABLED_S,1
254,SR-PC-DIPOL-01,b0,:I,:SETI,,
256,SR03A-PC-Q2AB-04,b1,:I,:SETI,,
258,SR03C-DI-EBPM-03,x,:SA:X,,:CF:ENABLED_S,1
258,SR03C-DI-EBPM-03,y,:SA:Y,,:CF:ENABLED_S,1
261,SR03A-PC-S2A-03,b2,:I,:SETI,,
261,SR03A-PC-HSTR-03,b0,:I,:SETI,,
261,SR03A-PC-VSTR-03,a0,:I,:SETI,,
264,SR03A-PC-Q1AB-05,b1,:I,:SETI,,
266,SR03C-DI-EBPM-04,x,:SA:X,,:CF:ENABLED_S,1
266,SR03C-DI-EBPM-04,y,:SA:Y,,:CF:ENABLED_S,1
269,SR03A-PC-S1A-04,b2,:I,:SETI,,
269,SR03A-PC-HSTR-04,b0,:I,:SETI,,
269,SR03A-PC-VSTR-04,a0,:I,:SETI,,
272,SR03A-PC-Q1AB-06,b1,:I,:SETI,,
275,SR03A-PC-S2A-05,b2,:I,:SETI,,
275,SR03A-PC-HSTR-05,b0,:I,:SETI,,
275,SR03A-PC-VSTR-05,a0,:I,:SETI,,
278,SR03A-PC-Q2AB-07,b1,:I,:SETI,,
280,SR03C-DI-EBPM-05,x,:SA:X,,:CF:ENABLED_S,1
280,SR03C-DI-EBPM-05,y,:SA:Y,,:CF:ENABLED_S,1
282,SR-PC-DIPOL-01,b0,:I,:SETI,,
285,SR03A-PC-S2B-06,b2,:I,:SETI,,
285,SR03A-PC-HSTR-06,b0,:I,:SETI,,
285,SR03A-PC-VSTR-06,a0,:I,:SETI,,
288,SR03A-PC-Q3B-08,b1,:I,:SETI,,
290,SR03C-DI-EBPM-06,x,:SA:X,,:CF:ENABLED_S,1
290,SR03C-DI-EBPM-06,y,:SA:Y,,:CF:ENABLED_S,1
292,SR03A-PC-Q2B-09,b1,:I,:SETI,,
295,SR03A-PC-S1B-07,b2,:I,:SETI,,
295,SR03A-PC-HSTR-07,b0,:I,:SETI,,
295,SR03A-PC-VSTR-07,a0,:I,:SETI,,
298,SR03A-PC-Q1B-10,b1,:I,:SETI,,
300,SR03C-DI-EBPM-07,x,:SA:X,,:CF:ENABLED_S,1
300,SR03C-DI-EBPM-07,y,:SA:Y,,:CF:ENABLED_S,1
338,SR04C-DI-EBPM-01,x,:SA:X,,:CF:ENABLED_S,1
338,SR04C-DI-EBPM-01,y,:SA:Y,,:CF:ENABLED_S,1
340,SR04A-PC-Q1B-01,b1,:I,:SETI,,
343,SR04A-PC-S1C-01,b2,:I,:SETI,,
343,SR04A-PC-HSTR-01,b0,:I,:SETI,,
343,SR04A-PC-VSTR-01,a0,:I,:SETI,,
346,SR04A-PC-Q2B-02,b1,:I,:SETI,,
348,SR04A-PC-Q3B-03,b1,:I,:SETI,,
351,SR04A-PC-S2C-02,b2,:I,:SETI,,
351,SR04A-PC-HSTR-02,b0,:I,:SETI,,
351,SR04A-PC-VSTR-02,a0,:I,:SETI,,
354,SR04C-DI-EBPM-02,x,:SA:X,,:CF:ENABLED_S,1
354,SR04C-DI-EBPM-02,y,:SA:Y,,:CF:ENABLED_S,1
356,SR-PC-DIPOL-01,b0,:I,:SETI,,
358,SR04A-PC-Q2AB-04,b1,:I,:SETI,,
360,SR04C-DI-EBPM-03,x,:SA:X,,:CF:ENABLED_S,1
360,SR04C-DI-EBPM-03,y,:SA:Y,,:CF:ENABLED_S,1
363,SR04A-PC-S2A-03,b2,:I,:SETI,,
363,SR04A-PC-HSTR-03,b0,:I,:SETI,,
363,SR04A-PC-VSTR-03,a0,:I,:SETI,,
366,SR04A-PC-Q1AB-05,b1,:I,:SETI,,
368,SR04C-DI-EBPM-04,x,:SA:X,,:CF:ENABLED_S,1
368,SR04C-DI-EBPM-04,y,:SA:Y,,:CF:ENABLED_S,1
371,SR04A-PC-S1A-04,b2,:I,:SETI,,
371,SR04A-PC-HSTR-04,b0,:I,:SETI,,
371,SR04A-PC-VSTR-04,a0,:I,:SETI,,
374,SR04A-PC-Q1AD-06,b1,:I,:SETI,,
377,SR04A-PC-S2A-05,b2,:I,:SETI,,
377,SR04A-PC-HSTR-05,b0,:I,:SETI,,
377,SR04A-PC-VSTR-05,a0,:I,:SETI,,
380,SR04A-PC-Q2AD-07,b1,:I,:SETI,,
382,SR04C-DI-EBPM-05,x,:SA:X,,:CF:ENABLED_S,1
382,SR04C-DI-EBPM-05,y,:SA:Y,,:CF:ENABLED_S,1
384,SR-PC-DIPOL-01,b0,:I,:SETI,,
387,SR04A-PC-S2D-06,b2,:I,:SETI,,
387,SR04A-PC-HSTR-06,b0,:I,:SETI,,
387,SR04A-PC-VSTR-06,a0,:I,:SETI,,
390,SR04A-PC-Q3D-08,b1,:I,:SETI,,
392,SR04C-DI-EBPM-06,x,:SA:X,,:CF:ENABLED_S,1
392,SR04C-DI-EBPM-06,y,:SA:Y,,:CF:ENABLED_S,1
394,SR04A-PC-Q2D-09,b1,:I,:SETI,,
397,SR04A-PC-S1D-07,b2,:I,:SETI,,
397,SR04A-PC-HSTR-07,b0,:I,:SETI,,
397,SR04A-PC-VSTR-07,a0,:I,:SETI,,
400,SR04A-PC-Q1D-10,b1,:I,:SETI,,
402,SR04C-DI-EBPM-07,x,:SA:X,,:CF:ENABLED_S,1
402,SR04C-DI-EBPM-07,y,:SA:Y,,:CF:ENABLED_S,1
419,SR05C-DI-EBPM-01,x,:SA:X,,:CF:ENABLED_S,1
419,SR05C-DI-EBPM-01,y,:SA:Y,,:CF:ENABLED_S,1
421,SR05A-PC-Q1D-01,b1,:I,:SETI,,
424,SR05A-PC-S1D-01,b2,:I,:SETI,,
424,SR05A-PC-HSTR-01,b0,:I,:SETI,,
424,SR05A-PC-VSTR-01,a0,:I,:SETI,,
427,SR05A-PC-Q2D-02,b1,:I,:SETI,,
429,SR05A-PC-Q3D-03,b1,:I,:SETI,,
432,SR05A-PC-S2D-02,b2,:I,:SETI,,
432,SR05A-PC-HSTR-02,b0,:I,:SETI,,
432,SR05A-PC-VSTR-02,a0,:I,:SETI,,
435,SR05C-DI-EBPM-02,x,:SA:X,,:CF:ENABLED_S,1
435,SR05C-DI-EBPM-02,y,:SA:Y,,:CF:ENABLED_S,1
437,SR-PC-DIPOL-01,b0,:I,:SETI,,
439,SR05A-PC-Q2AD-04,b1,:I,:SETI,,
441,SR05C-DI-EBPM-03,x,:SA:X,,:CF:ENABLED_S,1
441,SR05C-DI-EBPM-03,y,:SA:Y,,:CF:ENABLED_S,1
444,SR05A-PC-S2A-03,b2,:I,:SETI,,
444,SR05A-PC-HSTR-03,b0,:I,:SETI,,
444,SR05A-PC-VSTR-03,a0,:I,:SETI,,
447,SR05A-PC-Q1AD-05,b1,:I,:SETI,,
449,SR05C-DI-EBPM-04,x,:SA:X,,:CF:ENABLED_S,1
449,SR05C-DI-EBPM-04,y,:SA:Y,,:CF:ENABLED_S,1
452,SR05A-PC-S1A-04,b2,:I,:SETI,,
452,SR05A-PC-HSTR-04,b0,:I,:SETI,,
452,SR05A-PC-VSTR-04,a0,:I,:SETI,,
455,SR05A-PC-Q1AB-06,b1,:I,:SETI,,
458,SR05A-PC-S2A-05,b2,:I,:SETI,,
458,SR05A-PC-HSTR-05,b0,:I,:SETI,,
458,SR05A-PC-VSTR-05,a0,:I,:SETI,,
461,SR05A-PC-Q2AB-07,b1,:I,:SETI,,
463,SR05C-DI-EBPM-05,x,:SA:X,,:CF:ENABLED_S,1
463,SR05C-DI-EBPM-05,y,:SA:Y,,:CF:ENABLED_S,1
465,SR-PC-DIPOL-01,b0,:I,:SETI,,
468,SR05A-PC-S2C-06,b2,:I,:SETI,,
468,SR05A-PC-HSTR-06,b0,:I,:SETI,,
468,SR05A-PC-VSTR-06,a0,:I,:SETI,,
471,SR05A-PC-Q3B-08,b1,:I,:SETI,,
473,SR05C-DI-EBPM-06,x,:SA:X,,:CF:ENABLED_S,1
473,SR05C-DI-EBPM-06,y,:SA:Y,,:CF:ENABLED_S,1
475,SR05A-PC-Q2B-09,b1,:I,:SETI,,
478,SR05A-PC-S1C-07,b2,:I,:SETI,,
478,SR05A-PC-HSTR-07,b0,:I,:SETI,,
478,SR05A-PC-VSTR-07,a0,:I,:SETI,,
481,SR05A-PC-Q1B-10,b1,:I,:SETI,,
483,SR05C-DI-EBPM-07,x,:SA:X,,:CF:ENABLED_S,1
483,SR05C-DI-EBPM-07,y,:SA:Y,,:CF:ENABLED_S,1
510,SR06C-DI-EBPM-01,x,:SA:X,,:CF:ENABLED_S,1
510,SR06C-DI-EBPM-01,y,:SA:Y,,:CF:ENABLED_S,1
512,SR06A-PC-Q1B-01,b1,:I,:SETI,,
515,SR06A-PC-S1B-01,b2,:I,:SETI,,
515,SR06A-PC-HSTR-01,b0,:I,:SETI,,
515,SR06A-PC-VSTR-01,a0,:I,:SETI,,
518,SR06A-PC-Q2B-02,b1,:I,:SETI,,
520,SR06A-PC-Q3B-03,b1,:I,:SETI,,
523,SR06A-PC-S2B-02,b2,:I,:SETI,,
523,SR06A-PC-HSTR-02,b0,:I,:SETI,,
523,SR06A-PC-VSTR-02,a0,:I,:SETI,,
526,SR06C-DI-EBPM-02,x,:SA:X,,:CF:ENABLED_S,1
526,SR06C-DI-EBPM-02,y,:SA:Y,,:CF:ENABLED_S,1
528,SR-PC-DIPOL-01,b0,:I,:SETI,,
530,SR06A-PC-Q2AB-04,b1,:I,:SETI,,
532,SR06C-DI-EBPM-03,x,:SA:X,,:CF:ENABLED_S,1
532,SR06C-DI-EBPM-03,y,:SA:Y,,:CF:ENABLED_S,1
535,SR06A-PC-S2A-03,b2,:I,:SETI,,
535,SR06A-PC-HSTR-03,b0,:I,:SETI,,
535,SR06A-PC-VSTR-03,a0,:I,:SETI,,
538,SR06A-PC-Q1AB-05,b1,:I,:SETI,,
540,SR06C-DI-EBPM-04,x,:SA:X,,:CF:ENABLED_S,1
540,SR06C-DI-EBPM-04,y,:SA:Y,,:CF:ENABLED_S,1
543,SR06A-PC-S1A-04,b2,:I,:SETI,,
543,SR06A-PC-HSTR-04,b0,:I,:SETI,,
543,SR06A-PC-VSTR-04,a0,:I,:SETI,,
546,SR06A-PC-Q1AB-06,b1,:I,:SETI,,
549,SR06A-PC-S2A-05,b2,:I,:SETI,,
549,SR06A-PC-HSTR-05,b0,:I,:SETI,,
549,SR06A-PC-VSTR-05,a0,:I,:SETI,,
552,SR06A-PC-Q2AB-07,b1,:I,:SETI,,
554,SR06C-DI-EBPM-05,x,:SA:X,,:CF:ENABLED_S,1
554,SR06C-DI-EBPM-05,y,:SA:Y,,:CF:ENABLED_S,1
556,SR-PC-DIPOL-01,b0,:I,:SETI,,
559,SR06A-PC-S2B-06,b2,:I,:SETI,,
559,SR06A-PC-HSTR-06,b0,:I,:SETI,,
559,SR06A-PC-VSTR-06,a0,:I,:SETI,,
562,SR06A-PC-Q3B-08,b1,:I,:SETI,,
564,SR06C-DI-EBPM-06,x,:SA:X,,:CF:ENABLED_S,1
564,SR06C-DI-EBPM-06,y,:SA:Y,,:CF:ENABLED_S,1
566,SR06A-PC-Q2B-09,b1,:I,:SETI,,
569,SR06A-PC-S1B-07,b2,:I,:SETI,,
569,SR06A-PC-HSTR-07,b0,:I,:SETI,,
569,SR06A-PC-VSTR-07,a0,:I,:SETI,,
572,SR06A-PC-Q1B-10,b1,:I,:SETI,,
574,SR06C-DI-EBPM-07,x,:SA:X,,:CF:ENABLED_S,1
574,SR06C-DI-EBPM-07,y,:SA:Y,,:CF:ENABLED_S,1
602,SR07C-DI-EBPM-01,x,:SA:X,,:CF:ENABLED_S,1
602,SR07C-DI-EBPM-01,y,:SA:Y,,:CF:ENABLED_S,1
604,SR07A-PC-Q1B-01,b1,:I,:SETI,,
607,SR07A-PC-S1B-01,b2,:I,:SETI,,
607,SR07A-PC-HSTR-01,b0,:I,:SETI,,
607,SR07A-PC-VSTR-01,a0,:I,:SETI,,
610,SR07A-PC-Q2B-02,b1,:I,:SETI,,
612,SR07A-PC-Q3B-03,b1,:I,:SETI,,
615,SR07A-PC-S2B-02,b2,:I,:SETI,,
615,SR07A-PC-HSTR-02,b0,:I,:SETI,,
615,SR07A-PC-VSTR-02,a0,:I,:SETI,,
618,SR07C-DI-EBPM-02,x,:SA:X,,:CF:ENABLED_S,1
618,SR07C-DI-EBPM-02,y,:SA:Y,,:CF:ENABLED_S,1
620,SR-PC-DIPOL-01,b0,:I,:SETI,,
622,SR07A-PC-Q2AB-04,b1,:I,:SETI,,
624,SR07C-DI-EBPM-03,x,:SA:X,,:CF:ENABLED_S,1
624,SR07C-DI-EBPM-03,y,:SA:Y,,:CF:ENABLED_S,1
627,SR07A-PC-S2A-03,b2,:I,:SETI,,
627,SR07A-PC-HSTR-03,b0,:I,:SETI,,
627,SR07A-PC-VSTR-03,a0,:I,:SETI,,
630,SR07A-PC-Q1AB-05,b1,:I,:SETI,,
632,SR07C-DI-EBPM-04,x,:SA:X,,:CF:ENABLED_S,1
632,SR07C-DI-EBPM-04,y,:SA:Y,,:CF:ENABLED_S,1
635,SR07A-PC-S1A-04,b2,:I,:SETI,,
635,SR07A-PC-HSTR-04,b0,:I,:SETI,,
635,SR07A-PC-VSTR-04,a0,:I,:SETI,,
638,SR07A-PC-Q1AB-06,b1,:I,:SETI,,
641,SR07A-PC-S2A-05,b2,:I,:SETI,,
641,SR07A-PC-HSTR-05,b0,:I,:SETI,,
641,SR07A-PC-VSTR-05,a0,:I,:SETI,,
644,SR07A-PC-Q2AB-07,b1,:I,:SETI,,
646,SR07C-DI-EBPM-05,x,:SA:X,,:CF:ENABLED_S,1
646,SR07C-DI-EBPM-05,y,:SA:Y,,:CF:ENABLED_S,1
649,SR-PC-DIPOL-01,b0,:I,:SETI,,
652,SR07A-PC-S2B-06,b2,:I,:SETI,,
652,SR07A-PC-HSTR-06,b0,:I,:SETI,,
652,SR07A-PC-VSTR-06,a0,:I,:SETI,,
655,SR07A-PC-Q3B-08,b1,:I,:SETI,,
657,SR07C-DI-EBPM-06,x,:SA:X,,:CF:ENABLED_S,1
657,SR07C-DI-EBPM-06,y,:SA:Y,,:CF:ENABLED_S,1
659,SR07A-PC-Q2B-09,b1,:I,:SETI,,
662,SR07A-PC-S1B-07,b2,:I,:SETI,,
662,SR07A-PC-HSTR-07,b0,:I,:SETI,,
662,SR07A-PC-VSTR-07,a0,:I,:SETI,,
665,SR07A-PC-Q1B-10,b1,:I,:SETI,,
667,SR07C-DI-EBPM-07,x,:SA:X,,:CF:ENABLED_S,1
667,SR07C-DI-EBPM-07,y,:SA:Y,,:CF:ENABLED_S,1
681,SR08C-DI-EBPM-01,x,:SA:X,,:CF:ENABLED_S,1
681,SR08C-DI-EBPM-01,y,:SA:Y,,:CF:ENABLED_S,1
683,SR08A-PC-Q1B-01,b1,:I,:SETI,,
686,SR08A-PC-S1C-01,b2,:I,:SETI,,
686,SR08A-PC-HSTR-01,b0,:I,:SETI,,
686,SR08A-PC-VSTR-01,a0,:I,:SETI,,
689,SR08A-PC-Q2B-02,b1,:I,:SETI,,
691,SR08A-PC-Q3B-03,b1,:I,:SETI,,
694,SR08A-PC-S2C-02,b2,:I,:SETI,,
694,SR08A-PC-HSTR-02,b0,:I,:SETI,,
694,SR08A-PC-VSTR-02,a0,:I,:SETI,,
697,SR08C-DI-EBPM-02,x,:SA:X,,:CF:ENABLED_S,1
697,SR08C-DI-EBPM-02,y,:SA:Y,,:CF:ENABLED_S,1
699,SR-PC-DIPOL-01,b0,:I,:SETI,,
701,SR08A-PC-Q2AB-04,b1,:I,:SETI,,
703,SR08C-DI-EBPM-03,x,:SA:X,,:CF:ENABLED_S,1
703,SR08C-DI-EBPM-03,y,:SA:Y,,:CF:ENABLED_S,1
706,SR08A-PC-S2A-03,b2,:I,:SETI,,
706,SR08A-PC-HSTR-03,b0,:I,:SETI,,
706,SR08A-PC-VSTR-03,a0,:I,:SETI,,
709,SR08A-PC-Q1AB-05,b1,:I,:SETI,,
711,SR08C-DI-EBPM-04,x,:SA:X,,:CF:ENABLED_S,1
711,SR08C-DI-EBPM-04,y,:SA:Y,,:CF:ENABLED_S,1
714,SR08A-PC-S1A-04,b2,:I,:SETI,,
714,SR08A-PC-HSTR-04,b0,:I,:SETI,,
714,SR08A-PC-VSTR-04,a0,:I,:SETI,,
717,SR08A-PC-Q1AD-06,b1,:I,:SETI,,
720,SR08A-PC-S2A-05,b2,:I,:SETI,,
720,SR08A-PC-HSTR-05,b0,:I,:SETI,,
720,SR08A-PC-VSTR-05,a0,:I,:SETI,,
723,SR08A-PC-Q2AD-07,b1,:I,:SETI,,
725,SR08C-DI-EBPM-05,x,:SA:X,,:CF:ENABLED_S,1
725,SR08C-DI-EBPM-05,y,:SA:Y,,:CF:ENABLED_S,1
727,SR-PC-DIPOL-01,b0,:I,:SETI,,
730,SR08A-PC-S2D-06,b2,:I,:SETI,,
730,SR08A-PC-HSTR-06,b0,:I,:SETI,,
730,SR08A-PC-VSTR-06,a0,:I,:SETI,,
733,SR08A-PC-Q3D-08,b1,:I,:SETI,,
