id,family
871,D10_5
872,source
873,D10_5
874,DRIFT
875,HTRIM
876,VTRIM
877,DRIFT
878,D10_6
879,BPM10
880,D10_7
881,DRIFT
882,HCHICA
883,DRIFT
884,D10_7
885,BPM10
886,D10_6
887,DRIFT
888,HTRIM
889,VTRIM
890,DRIFT
891,D10_5
892,source
893,D10_5
894,DRIFT
895,HTRIM
896,VTRIM
897,DRIFT
898,D10_4
899,DRIFT
900,HCHICA
901,DRIFT
902,D10_3
903,DRIFT
904,HCHICA
905,DRIFT
906,D10_8
907,BPM
908,D10_9
909,Q1B
910,D2B
911,DSEXT
912,S1B
912,SQUAD
912,HSTR
912,VSTR
913,DSEXT
914,D3B
915,Q2B
916,D4B
917,Q3B
918,D5B
919,DSEXT
920,S2B
920,HSTR
920,VSTR
921,DSEXT
922,D6Ba
923,BPM
924,D6Bb
925,BB
926,D4A
927,Q2AB
928,D3Aa
929,BPM
930,D3Ab
931,DSEXT
932,S2A
932,SQUAD
932,HSTR
932,VSTR
933,DSEXT
934,D2A
935,Q1AB
936,D1Aa
937,BPM
938,D1Ab
939,DSEXT
940,S1A
940,HSTR
940,VSTR
941,DSEXT
942,D1A
943,Q1AB
944,D2A
945,DSEXT
946,S2A
946,SQUAD
946,HSTR
946,VSTR
947,DSEXT
948,D3A
949,Q2AB
950,D4Aa
951,BPM
952,D4Ab
953,BB
954,D6B
955,DSEXT
956,S2B
956,HSTR
956,VSTR
957,DSEXT
958,D5B
959,Q3B
960,D4Ba
961,BPM
962,D4Bb
963,Q2B
964,D3B
965,DSEXT
966,S1B
966,SQUAD
966,HSTR
966,VSTR
967,DSEXT
968,D2B
969,Q1B
970,KD1
971,BPM
972,DBPM
973,DRIFT
974,HTRIM
975,VTRIM
976,DRIFT
977,DRIFT
978,source
979,DRIFT
980,DRIFT
981,HTRIM
982,VTRIM
983,DRIFT
984,DBPM
985,BPM
986,KD1
987,Q1B
988,D2B
989,DSEXT
990,S1B
990,SQUAD
990,HSTR
990,VSTR
991,DSEXT
992,D3B
993,Q2B
994,D4B
995,Q3B
996,D5B
997,DSEXT
998,S2B
998,HSTR
998,VSTR
999,DSEXT
1000,D6Ba
1001,BPM
1002,D6Bb
1003,BB
1004,D4A
1005,Q2AB
1006,D3Aa
1007,BPM
1008,D3Ab
1009,DSEXT
1010,S2A
1010,SQUAD
1010,HSTR
1010,VSTR
1011,DSEXT
1012,D2A
1013,Q1AB
1014,D1Aa
1015,BPM
1016,D1Ab
1017,DSEXT
1018,S1A
1018,HSTR
1018,VSTR
1019,DSEXT
1020,D1A
1021,Q1AB
1022,D2A
1023,DSEXT
1024,S2A
1024,SQUAD
1024,HSTR
1024,VSTR
1025,DSEXT
1026,D3A
1027,Q2AB
1028,D4Aa
1029,BPM
1030,D4Ab
1031,BB
1032,D6B
1033,DSEXT
1034,S2B
1034,HSTR
1034,VSTR
1035,DSEXT
1036,D5B
1037,Q3B
1038,D4Ba
1039,BPM
1040,D4Bb
1041,Q2B
1042,D3B
1043,DSEXT
1044,S1B
1044,SQUAD
1044,HSTR
1044,VSTR
1045,DSEXT
1046,D2B
1047,Q1B
1048,KD1
1049,BPM
1050,DBPM
1051,DRIFT
1052,DRIFT
1053,HTRIM
1054,VTRIM
1055,DRIFT
1056,MPW12
1057,DRIFT
1058,HTRIM
1059,VTRIM
1060,DRIFT
1061,DRIFT
1062,DBPM
1063,BPM
1064,KD1
1065,Q1B
1066,D2B
1067,DSEXT
1068,S1C
1068,SQUAD
1068,HSTR
1068,VSTR
1069,DSEXT
1070,D3B
1071,Q2B
1072,D4B
1073,Q3B
1074,D5B
1075,DSEXT
1076,S2C
1076,HSTR
1076,VSTR
1077,DSEXT
1078,D6Ba
1079,BPM
1080,D6Bb
1081,BB
1082,D4A
1083,Q2AB
1084,D3Aa
1085,BPM
1086,D3Ab
1087,DSEXT
1088,S2A
1088,SQUAD
1088,HSTR
1088,VSTR
1089,DSEXT
1090,D2A
1091,Q1AB
1092,D1Aa
1093,BPM
1094,D1Ab
1095,DSEXT
1096,S1A
1096,HSTR
1096,VSTR
1097,DSEXT
1098,D1A
1099,Q1AD
1100,D2A
1101,DSEXT
1102,S2A
1102,SQUAD
1102,HSTR
1102,VSTR
1103,DSEXT
1104,D3A
1105,Q2AD
1106,D4Aa
1107,BPM
1108,D4Ab
1109,BB
1110,D6B
1111,DSEXT
1112,S2D
1112,HSTR
1112,VSTR
1113,DSEXT
1114,D5B
1115,Q3D
1116,D4Ba
1117,BPM
1118,D4Bb
1119,Q2D
1120,D3B
1121,DSEXT
1122,S1D
1122,SQUAD
1122,HSTR
1122,VSTR
1123,DSEXT
1124,D2B
1125,Q1D
1126,D13_1
1127,QM13
1128,D13_2
1129,DRIFT
1130,HCHICA
1131,DRIFT
1132,D13_3
1133,BPM
1134,DRIFT
1135,HTRIM
1136,VTRIM
1137,DRIFT
1138,DRIFT
1139,source
1140,DRIFT
1141,DRIFT
1142,HTRIM
1143,VTRIM
1144,DRIFT
1145,BPM
1146,D13_5
1146,HSTR
1146,VSTR
1147,D13_6
1148,DRIFT
1149,HCHICA
1150,DRIFT
1151,D13_7
1152,QM13
1153,D13_8
1154,QM13
1155,D13_9
1156,BPM
1157,D13_10
1157,HSTR
1157,VSTR
1158,DRIFT
1159,HTRIM
1160,VTRIM
1161,DRIFT
1162,DRIFT
1163,source
1164,DRIFT
1165,DRIFT
