el_id,family
560,dsm_24
561,Q6N
562,dsm_25
563,S6X
563,SQUAD
563,HSTR
563,VSTR
564,GE
565,dsm_26
566,BPM
567,SE
568,AP
569,K04drift
570,AP
571,AP_K04
572,HTRIM
573,VTRIM
574,K04
575,HTRIM
576,VTRIM
577,AP_K04
578,AP
579,K04drift
580,AP
581,SE
582,BPM
583,dml_02
584,HFCM
585,VFCM
586,dml_03
587,GS
588,S6X
588,SQUAD
588,HSTR
588,VSTR
589,dml_04
590,Q6N
591,dml_05
592,DQ1
593,dml_06
594,Q5N
595,dml_07
596,BPM
597,dml_08
598,S5X
598,SQUAD
598,HSTR
598,VSTR
599,dml_09
600,DL3_5
601,DL3_4
602,DL3_3
603,DL3_2
604,DL3_1
605,dml_10
606,Q4N
607,dml_11
608,S4A
608,SQUAD
608,HSTR
608,VSTR
609,dml_12
610,BPM
611,dml_13
612,HFCM
613,VFCM
614,dml_14
615,O1X
616,dml_15
617,A2L
618,dml_16
619,S3A
619,SQUAD
620,dml_17
621,A1L
622,dml_18
623,HFCM
624,VFCM
625,dml_19
626,BPM
627,dml_20
628,S2A
628,SQUAD
628,HSTR
628,VSTR
629,dml_21
630,Q3L
631,dml_22
632,DL4_1
633,DL4_2
634,DL4_3
635,DL4_4
636,DL4_5
637,dml_23
638,Q2L
639,dml_24
640,BPM
641,dml_25
642,S1X
642,SQUAD
642,HSTR
642,VSTR
643,dml_26
644,Q1L
645,dml_27
646,O0X
646,HSTR
646,VSTR
647,dml_28
648,Q0L
649,GE
650,dml_29
651,BPM
652,SE
653,DLS_Ves
654,I05drift
655,HTRIM
656,VTRIM
657,I05
658,HTRIM
659,VTRIM
660,I05drift
661,DLS_Ves
662,SE
663,BPM
664,dlm_29
665,GS
666,Q0L
667,dlm_28
668,O0X
668,HSTR
668,VSTR
669,dlm_27
670,Q1L
671,dlm_26
672,S1X
672,SQUAD
672,HSTR
672,VSTR
673,dlm_25
674,BPM
675,dlm_24
676,HFCM
677,VFCM
678,dlm_23
679,Q2L
680,dlm_22
681,DL1_5
682,DL1_4
683,DL1_3
684,DL1_2
685,DL1_1
686,dlm_21
687,Q3L
688,dlm_20
689,S2A
689,SQUAD
689,HSTR
689,VSTR
690,dlm_19
691,BPM
692,dlm_18
693,A1L
694,dlm_17
695,S3A
695,SQUAD
695,HSTR
695,VSTR
696,dlm_16
697,A2L
698,dlm_15
699,O1X
700,dlm_14
701,BPM
702,dlm_13
703,HFCM
704,VFCM
705,dlm_12
706,S4A
706,SQUAD
706,HSTR
706,VSTR
707,dlm_11
708,Q4N
709,dlm_10
710,DL2_1
711,DL2_2
712,DL2_3
713,DL2_4
714,DL2_5
715,dlm_09
716,S5X
716,SQUAD
716,HSTR
716,VSTR
717,dlm_08
718,HFCM
719,VFCM
720,dlm_07
721,BPM
722,dlm_06
723,Q5N
724,dlm_05
725,DQ1
726,dlm_04
727,Q6N
728,dlm_03
729,S6X
729,SQUAD
729,HSTR
729,VSTR
730,GE
731,dlm_02
732,BPM
733,SE
734,rfdrift1
735,RF
736,rfdrift2
737,source
738,MS
739,rfdrift2
740,RF
741,rfdrift1
