el_id,name,field,get_pv,set_pv
2213,SR14C-DI-EBPM-03,y_fofb_disabled,SR14C-PC-VBPM-03:FAST:DISABLED,
2213,SR14C-DI-EBPM-03,y_sofb_disabled,SR14C-PC-VBPM-03:SLOW:DISABLED,
2218,SR14A-PC-S4A-04,b2,SR14A-PC-S4A-04:I,SR14A-PC-S4A-04:SETI
2218,SR14A-PC-HSTR-04,x_kick,SR14A-PC-HSTR-04:I,SR14A-PC-HSTR-04:SETI
2218,SR14A-PC-HSTR-04,h_fofb_disabled,SR14A-PC-HSTR-04:FAST:DISABLED,
2218,SR14A-PC-HSTR-04,h_sofb_disabled,SR14A-PC-HSTR-04:SLOW:DISABLED,
2218,SR14A-PC-VSTR-04,y_kick,SR14A-PC-VSTR-04:I,SR14A-PC-VSTR-04:SETI
2218,SR14A-PC-VSTR-04,v_fofb_disabled,SR14A-PC-VSTR-04:FAST:DISABLED,
2218,SR14A-PC-VSTR-04,v_sofb_disabled,SR14A-PC-VSTR-04:SLOW:DISABLED,
2220,SR14A-PC-Q4N-06,b1,SR14A-PC-Q4N-06:I,SR14A-PC-Q4N-06:SETI
2222,SR14-PC-DL2,b0,SR14-PC-DL2:I,SR14-PC-DL2:SETI
2223,SR14-PC-DL2,b0,SR14-PC-DL2:I,SR14-PC-DL2:SETI
2224,SR14-PC-DL2,b0,SR14-PC-DL2:I,SR14-PC-DL2:SETI
2225,SR14-PC-DL2,b0,SR14-PC-DL2:I,SR14-PC-DL2:SETI
2226,SR14-PC-DL2,b0,SR14-PC-DL2:I,SR14-PC-DL2:SETI
2228,SR14A-PC-S5X-05,b2,SR14A-PC-S5X-05:I,SR14A-PC-S5X-05:SETI
2228,SR14A-PC-HSTR-05,x_kick,SR14A-PC-HSTR-05:I,SR14A-PC-HSTR-05:SETI
2228,SR14A-PC-HSTR-05,h_fofb_disabled,SR14A-PC-HSTR-05:FAST:DISABLED,
2228,SR14A-PC-HSTR-05,h_sofb_disabled,SR14A-PC-HSTR-05:SLOW:DISABLED,
2228,SR14A-PC-VSTR-05,y_kick,SR14A-PC-VSTR-05:I,SR14A-PC-VSTR-05:SETI
2228,SR14A-PC-VSTR-05,v_fofb_disabled,SR14A-PC-VSTR-05:FAST:DISABLED,
2228,SR14A-PC-VSTR-05,v_sofb_disabled,SR14A-PC-VSTR-05:SLOW:DISABLED,
2233,SR14C-DI-EBPM-04,x,SR14C-DI-EBPM-04:SA:X,
2233,SR14C-DI-EBPM-04,y,SR14C-DI-EBPM-04:SA:Y,
2233,SR14C-DI-EBPM-04,enabled,SR14C-DI-EBPM-04:CF:ENABLED_S,
2233,SR14C-DI-EBPM-04,x_fofb_disabled,SR14C-PC-HBPM-04:FAST:DISABLED,
2233,SR14C-DI-EBPM-04,x_sofb_disabled,SR14C-PC-HBPM-04:SLOW:DISABLED,
2233,SR14C-DI-EBPM-04,y_fofb_disabled,SR14C-PC-VBPM-04:FAST:DISABLED,
2233,SR14C-DI-EBPM-04,y_sofb_disabled,SR14C-PC-VBPM-04:SLOW:DISABLED,
2235,SR14A-PC-Q5N-07,b1,SR14A-PC-Q5N-07:I,SR14A-PC-Q5N-07:SETI
2237,SR14-PC-DQ1-01,b0,SR14-PC-DQ1-01:I,SR14-PC-DQ1-01:SETI
2239,SR14A-PC-Q6N-08,b1,SR14A-PC-Q6N-08:I,SR14A-PC-Q6N-08:SETI
2241,SR14A-PC-S6X-06,b2,SR14A-PC-S6X-06:I,SR14A-PC-S6X-06:SETI
2241,SR14A-PC-HSTR-06,x_kick,SR14A-PC-HSTR-06:I,SR14A-PC-HSTR-06:SETI
2241,SR14A-PC-HSTR-06,h_fofb_disabled,SR14A-PC-HSTR-06:FAST:DISABLED,
2241,SR14A-PC-HSTR-06,h_sofb_disabled,SR14A-PC-HSTR-06:SLOW:DISABLED,
2241,SR14A-PC-VSTR-06,y_kick,SR14A-PC-VSTR-06:I,SR14A-PC-VSTR-06:SETI
2241,SR14A-PC-VSTR-06,v_fofb_disabled,SR14A-PC-VSTR-06:FAST:DISABLED,
2241,SR14A-PC-VSTR-06,v_sofb_disabled,SR14A-PC-VSTR-06:SLOW:DISABLED,
2244,SR14C-DI-EBPM-05,x,SR14C-DI-EBPM-05:SA:X,
2244,SR14C-DI-EBPM-05,y,SR14C-DI-EBPM-05:SA:Y,
2244,SR14C-DI-EBPM-05,enabled,SR14C-DI-EBPM-05:CF:ENABLED_S,
2244,SR14C-DI-EBPM-05,x_fofb_disabled,SR14C-PC-HBPM-05:FAST:DISABLED,
2244,SR14C-DI-EBPM-05,x_sofb_disabled,SR14C-PC-HBPM-05:SLOW:DISABLED,
2244,SR14C-DI-EBPM-05,y_fofb_disabled,SR14C-PC-VBPM-05:FAST:DISABLED,
2244,SR14C-DI-EBPM-05,y_sofb_disabled,SR14C-PC-VBPM-05:SLOW:DISABLED,
2255,SR14K-PC-HSTR-11,x_kick,SR14K-PC-HSTR-11:I,SR14K-PC-HSTR-11:SETI
2256,SR14K-PC-VSTR-11,y_kick,SR14K-PC-VSTR-11:I,SR14K-PC-VSTR-11:SETI
2258,SR14K-PC-HSTR-12,x_kick,SR14K-PC-HSTR-12:I,SR14K-PC-HSTR-12:SETI
2259,SR14K-PC-VSTR-12,y_kick,SR14K-PC-VSTR-12:I,SR14K-PC-VSTR-12:SETI
2285,SR14C-DI-EBPM-06,x,SR14C-DI-EBPM-06:SA:X,
2285,SR14C-DI-EBPM-06,y,SR14C-DI-EBPM-06:SA:Y,
2285,SR14C-DI-EBPM-06,enabled,SR14C-DI-EBPM-06:CF:ENABLED_S,
2285,SR14C-DI-EBPM-06,x_fofb_disabled,SR14C-PC-HBPM-06:FAST:DISABLED,
2285,SR14C-DI-EBPM-06,x_sofb_disabled,SR14C-PC-HBPM-06:SLOW:DISABLED,
2285,SR14C-DI-EBPM-06,y_fofb_disabled,SR14C-PC-VBPM-06:FAST:DISABLED,
2285,SR14C-DI-EBPM-06,y_sofb_disabled,SR14C-PC-VBPM-06:SLOW:DISABLED,
2291,SR14A-PC-S6X-07,b2,SR14A-PC-S6X-07:I,SR14A-PC-S6X-07:SETI
2291,SR14A-PC-HSTR-07,x_kick,SR14A-PC-HSTR-07:I,SR14A-PC-HSTR-07:SETI
2291,SR14A-PC-HSTR-07,h_fofb_disabled,SR14A-PC-HSTR-07:FAST:DISABLED,
2291,SR14A-PC-HSTR-07,h_sofb_disabled,SR14A-PC-HSTR-07:SLOW:DISABLED,
2291,SR14A-PC-VSTR-07,y_kick,SR14A-PC-VSTR-07:I,SR14A-PC-VSTR-07:SETI
2291,SR14A-PC-VSTR-07,v_fofb_disabled,SR14A-PC-VSTR-07:FAST:DISABLED,
2291,SR14A-PC-VSTR-07,v_sofb_disabled,SR14A-PC-VSTR-07:SLOW:DISABLED,
2293,SR14A-PC-Q6N-09,b1,SR14A-PC-Q6N-09:I,SR14A-PC-Q6N-09:SETI
2295,SR14-PC-DQ1-02,b0,SR14-PC-DQ1-02:I,SR14-PC-DQ1-02:SETI
2297,SR14A-PC-Q5N-10,b1,SR14A-PC-Q5N-10:I,SR14A-PC-Q5N-10:SETI
2299,SR14C-DI-EBPM-07,x,SR14C-DI-EBPM-07:SA:X,
2299,SR14C-DI-EBPM-07,y,SR14C-DI-EBPM-07:SA:Y,
2299,SR14C-DI-EBPM-07,enabled,SR14C-DI-EBPM-07:CF:ENABLED_S,
2299,SR14C-DI-EBPM-07,x_fofb_disabled,SR14C-PC-HBPM-07:FAST:DISABLED,
2299,SR14C-DI-EBPM-07,x_sofb_disabled,SR14C-PC-HBPM-07:SLOW:DISABLED,
2299,SR14C-DI-EBPM-07,y_fofb_disabled,SR14C-PC-VBPM-07:FAST:DISABLED,
2299,SR14C-DI-EBPM-07,y_sofb_disabled,SR14C-PC-VBPM-07:SLOW:DISABLED,
2301,SR14A-PC-S5X-08,b2,SR14A-PC-S5X-08:I,SR14A-PC-S5X-08:SETI
2301,SR14A-PC-HSTR-08,x_kick,SR14A-PC-HSTR-08:I,SR14A-PC-HSTR-08:SETI
2301,SR14A-PC-HSTR-08,h_fofb_disabled,SR14A-PC-HSTR-08:FAST:DISABLED,
2301,SR14A-PC-HSTR-08,h_sofb_disabled,SR14A-PC-HSTR-08:SLOW:DISABLED,
2301,SR14A-PC-VSTR-08,y_kick,SR14A-PC-VSTR-08:I,SR14A-PC-VSTR-08:SETI
2301,SR14A-PC-VSTR-08,v_fofb_disabled,SR14A-PC-VSTR-08:FAST:DISABLED,
2301,SR14A-PC-VSTR-08,v_sofb_disabled,SR14A-PC-VSTR-08:SLOW:DISABLED,
2303,SR14-PC-DL3,b0,SR14-PC-DL3:I,SR14-PC-DL3:SETI
2304,SR14-PC-DL3,b0,SR14-PC-DL3:I,SR14-PC-DL3:SETI
2305,SR14-PC-DL3,b0,SR14-PC-DL3:I,SR14-PC-DL3:SETI
2306,SR14-PC-DL3,b0,SR14-PC-DL3:I,SR14-PC-DL3:SETI
