el_id,field,uc_type,uc_id,phys_units,eng_units,lower_lim,upper_lim
161,y,poly,118,mm,m,,
183,x,poly,118,mm,m,,
183,y,poly,118,mm,m,,
193,x,poly,118,mm,m,,
193,y,poly,118,mm,m,,
218,x,poly,118,mm,m,,
218,y,poly,118,mm,m,,
246,x,poly,118,mm,m,,
246,y,poly,118,mm,m,,
262,x,poly,118,mm,m,,
262,y,poly,118,mm,m,,
268,x,poly,118,mm,m,,
268,y,poly,118,mm,m,,
276,x,poly,118,mm,m,,
276,y,poly,118,mm,m,,
290,x,poly,118,mm,m,,
290,y,poly,118,mm,m,,
300,x,poly,118,mm,m,,
300,y,poly,118,mm,m,,
310,x,poly,118,mm,m,,
310,y,poly,118,mm,m,,
344,x,poly,118,mm,m,,
344,y,poly,118,mm,m,,
360,x,poly,118,mm,m,,
360,y,poly,118,mm,m,,
366,x,poly,118,mm,m,,
366,y,poly,118,mm,m,,
374,x,poly,118,mm,m,,
374,y,poly,118,mm,m,,
388,x,poly,118,mm,m,,
388,y,poly,118,mm,m,,
398,x,poly,118,mm,m,,
398,y,poly,118,mm,m,,
408,x,poly,118,mm,m,,
408,y,poly,118,mm,m,,
425,x,poly,118,mm,m,,
425,y,poly,118,mm,m,,
441,x,poly,118,mm,m,,
441,y,poly,118,mm,m,,
447,x,poly,118,mm,m,,
447,y,poly,118,mm,m,,
455,x,poly,118,mm,m,,
455,y,poly,118,mm,m,,
469,x,poly,118,mm,m,,
469,y,poly,118,mm,m,,
479,x,poly,118,mm,m,,
479,y,poly,118,mm,m,,
489,x,poly,118,mm,m,,
489,y,poly,118,mm,m,,
516,x,poly,118,mm,m,,
516,y,poly,118,mm,m,,
532,x,poly,118,mm,m,,
532,y,poly,118,mm,m,,
538,x,poly,118,mm,m,,
538,y,poly,118,mm,m,,
546,x,poly,118,mm,m,,
546,y,poly,118,mm,m,,
560,x,poly,118,mm,m,,
560,y,poly,118,mm,m,,
570,x,poly,118,mm,m,,
570,y,poly,118,mm,m,,
580,x,poly,118,mm,m,,
580,y,poly,118,mm,m,,
608,x,poly,118,mm,m,,
608,y,poly,118,mm,m,,
624,x,poly,118,mm,m,,
624,y,poly,118,mm,m,,
630,x,poly,118,mm,m,,
630,y,poly,118,mm,m,,
638,x,poly,118,mm,m,,
638,y,poly,118,mm,m,,
652,x,poly,118,mm,m,,
652,y,poly,118,mm,m,,
663,x,poly,118,mm,m,,
663,y,poly,118,mm,m,,
673,x,poly,118,mm,m,,
673,y,poly,118,mm,m,,
687,x,poly,118,mm,m,,
687,y,poly,118,mm,m,,
703,x,poly,118,mm,m,,
703,y,poly,118,mm,m,,
709,x,poly,118,mm,m,,
709,y,poly,118,mm,m,,
717,x,poly,118,mm,m,,
717,y,poly,118,mm,m,,
731,x,poly,118,mm,m,,
731,y,poly,118,mm,m,,
