el_id,name,field,get_pv,set_pv
1046,SR11A-PC-HSTR-04,h_sofb_disabled,SR11A-PC-HSTR-04:SLOW:DISABLED,
1046,SR11A-PC-VSTR-04,y_kick,SR11A-PC-VSTR-04:I,SR11A-PC-VSTR-04:SETI
1046,SR11A-PC-VSTR-04,v_fofb_disabled,SR11A-PC-VSTR-04:FAST:DISABLED,
1046,SR11A-PC-VSTR-04,v_sofb_disabled,SR11A-PC-VSTR-04:SLOW:DISABLED,
1049,SR11A-PC-Q1AB-06,b1,SR11A-PC-Q1AB-06:I,SR11A-PC-Q1AB-06:SETI
1052,SR11A-PC-S2A-05,b2,SR11A-PC-S2A-05:I,SR11A-PC-S2A-05:SETI
1052,SR11A-PC-HSTR-05,x_kick,SR11A-PC-HSTR-05:I,SR11A-PC-HSTR-05:SETI
1052,SR11A-PC-HSTR-05,h_fofb_disabled,SR11A-PC-HSTR-05:FAST:DISABLED,
1052,SR11A-PC-HSTR-05,h_sofb_disabled,SR11A-PC-HSTR-05:SLOW:DISABLED,
1052,SR11A-PC-VSTR-05,y_kick,SR11A-PC-VSTR-05:I,SR11A-PC-VSTR-05:SETI
1052,SR11A-PC-VSTR-05,v_fofb_disabled,SR11A-PC-VSTR-05:FAST:DISABLED,
1052,SR11A-PC-VSTR-05,v_sofb_disabled,SR11A-PC-VSTR-05:SLOW:DISABLED,
1055,SR11A-PC-Q2AB-07,b1,SR11A-PC-Q2AB-07:I,SR11A-PC-Q2AB-07:SETI
1057,SR11C-DI-EBPM-05,x,SR11C-DI-EBPM-05:SA:X,
1057,SR11C-DI-EBPM-05,y,SR11C-DI-EBPM-05:SA:Y,
1057,SR11C-DI-EBPM-05,enabled,SR11C-DI-EBPM-05:CF:ENABLED_S,
1057,SR11C-DI-EBPM-05,x_fofb_disabled,SR11C-PC-HBPM-05:FAST:DISABLED,
1057,SR11C-DI-EBPM-05,x_sofb_disabled,SR11C-PC-HBPM-05:SLOW:DISABLED,
1057,SR11C-DI-EBPM-05,y_fofb_disabled,SR11C-PC-VBPM-05:FAST:DISABLED,
1057,SR11C-DI-EBPM-05,y_sofb_disabled,SR11C-PC-VBPM-05:SLOW:DISABLED,
1059,SR-PC-DIPOL-01,b0,SR-PC-DIPOL-01:I,SR-PC-DIPOL-01:SETI
1062,SR11A-PC-S2B-06,b2,SR11A-PC-S2B-06:I,SR11A-PC-S2B-06:SETI
1062,SR11A-PC-HSTR-06,x_kick,SR11A-PC-HSTR-06:I,SR11A-PC-HSTR-06:SETI
1062,SR11A-PC-HSTR-06,h_fofb_disabled,SR11A-PC-HSTR-06:FAST:DISABLED,
1062,SR11A-PC-HSTR-06,h_sofb_disabled,SR11A-PC-HSTR-06:SLOW:DISABLED,
1062,SR11A-PC-VSTR-06,y_kick,SR11A-PC-VSTR-06:I,SR11A-PC-VSTR-06:SETI
1062,SR11A-PC-VSTR-06,v_fofb_disabled,SR11A-PC-VSTR-06:FAST:DISABLED,
1062,SR11A-PC-VSTR-06,v_sofb_disabled,SR11A-PC-VSTR-06:SLOW:DISABLED,
1065,SR11A-PC-Q3B-08,b1,SR11A-PC-Q3B-08:I,SR11A-PC-Q3B-08:SETI
1067,SR11C-DI-EBPM-06,x,SR11C-DI-EBPM-06:SA:X,
1067,SR11C-DI-EBPM-06,y,SR11C-DI-EBPM-06:SA:Y,
1067,SR11C-DI-EBPM-06,enabled,SR11C-DI-EBPM-06:CF:ENABLED_S,
1067,SR11C-DI-EBPM-06,x_fofb_disabled,SR11C-PC-HBPM-06:FAST:DISABLED,
1067,SR11C-DI-EBPM-06,x_sofb_disabled,SR11C-PC-HBPM-06:SLOW:DISABLED,
1067,SR11C-DI-EBPM-06,y_fofb_disabled,SR11C-PC-VBPM-06:FAST:DISABLED,
1067,SR11C-DI-EBPM-06,y_sofb_disabled,SR11C-PC-VBPM-06:SLOW:DISABLED,
1069,SR11A-PC-Q2B-09,b1,SR11A-PC-Q2B-09:I,SR11A-PC-Q2B-09:SETI
1072,SR11A-PC-S1B-07,b2,SR11A-PC-S1B-07:I,SR11A-PC-S1B-07:SETI
1072,SR11A-PC-HSTR-07,x_kick,SR11A-PC-HSTR-07:I,SR11A-PC-HSTR-07:SETI
1072,SR11A-PC-HSTR-07,h_fofb_disabled,SR11A-PC-HSTR-07:FAST:DISABLED,
1072,SR11A-PC-HSTR-07,h_sofb_disabled,SR11A-PC-HSTR-07:SLOW:DISABLED,
1072,SR11A-PC-VSTR-07,y_kick,SR11A-PC-VSTR-07:I,SR11A-PC-VSTR-07:SETI
1072,SR11A-PC-VSTR-07,v_fofb_disabled,SR11A-PC-VSTR-07:FAST:DISABLED,
1072,SR11A-PC-VSTR-07,v_sofb_disabled,SR11A-PC-VSTR-07:SLOW:DISABLED,
1075,SR11A-PC-Q1B-10,b1,SR11A-PC-Q1B-10:I,SR11A-PC-Q1B-10:SETI
1077,SR11C-DI-EBPM-07,x,SR11C-DI-EBPM-07:SA:X,
1077,SR11C-DI-EBPM-07,y,SR11C-DI-EBPM-07:SA:Y,
1077,SR11C-DI-EBPM-07,enabled,SR11C-DI-EBPM-07:CF:ENABLED_S,
1077,SR11C-DI-EBPM-07,x_fofb_disabled,SR11C-PC-HBPM-07:FAST:DISABLED,
1077,SR11C-DI-EBPM-07,x_sofb_disabled,SR11C-PC-HBPM-07:SLOW:DISABLED,
1077,SR11C-DI-EBPM-07,y_fofb_disabled,SR11C-PC-VBPM-07:FAST:DISABLED,
1077,SR11C-DI-EBPM-07,y_sofb_disabled,SR11C-PC-VBPM-07:SLOW:DISABLED,
1081,SR12I-PC-HSTR-11,x_kick,SR12I-PC-HSTR-11:I,SR12I-PC-HSTR-11:SETI
1082,SR12I-PC-VSTR-11,y_kick,SR12I-PC-VSTR-11:I,SR12I-PC-VSTR-11:SETI
1087,SR12I-PC-HSTR-12,x_kick,SR12I-PC-HSTR-12:I,SR12I-PC-HSTR-12:SETI
1088,SR12I-PC-VSTR-12,y_kick,SR12I-PC-VSTR-12:I,SR12I-PC-VSTR-12:SETI
1092,SR12C-DI-EBPM-01,x,SR12C-DI-EBPM-01:SA:X,
1092,SR12C-DI-EBPM-01,y,SR12C-DI-EBPM-01:SA:Y,
1092,SR12C-DI-EBPM-01,enabled,SR12C-DI-EBPM-01:CF:ENABLED_S,
1092,SR12C-DI-EBPM-01,x_fofb_disabled,SR12C-PC-HBPM-01:FAST:DISABLED,
1092,SR12C-DI-EBPM-01,x_sofb_disabled,SR12C-PC-HBPM-01:SLOW:DISABLED,
1092,SR12C-DI-EBPM-01,y_fofb_disabled,SR12C-PC-VBPM-01:FAST:DISABLED,
1092,SR12C-DI-EBPM-01,y_sofb_disabled,SR12C-PC-VBPM-01:SLOW:DISABLED,
1094,SR12A-PC-Q1B-01,b1,SR12A-PC-Q1B-01:I,SR12A-PC-Q1B-01:SETI
1097,SR12A-PC-S1C-01,b2,SR12A-PC-S1C-01:I,SR12A-PC-S1C-01:SETI
1097,SR12A-PC-HSTR-01,x_kick,SR12A-PC-HSTR-01:I,SR12A-PC-HSTR-01:SETI
1097,SR12A-PC-HSTR-01,h_fofb_disabled,SR12A-PC-HSTR-01:FAST:DISABLED,
1097,SR12A-PC-HSTR-01,h_sofb_disabled,SR12A-PC-HSTR-01:SLOW:DISABLED,
1097,SR12A-PC-VSTR-01,y_kick,SR12A-PC-VSTR-01:I,SR12A-PC-VSTR-01:SETI
1097,SR12A-PC-VSTR-01,v_fofb_disabled,SR12A-PC-VSTR-01:FAST:DISABLED,
1097,SR12A-PC-VSTR-01,v_sofb_disabled,SR12A-PC-VSTR-01:SLOW:DISABLED,
1100,SR12A-PC-Q2B-02,b1,SR12A-PC-Q2B-02:I,SR12A-PC-Q2B-02:SETI
1102,SR12A-PC-Q3B-03,b1,SR12A-PC-Q3B-03:I,SR12A-PC-Q3B-03:SETI
1105,SR12A-PC-S2C-02,b2,SR12A-PC-S2C-02:I,SR12A-PC-S2C-02:SETI
1105,SR12A-PC-HSTR-02,x_kick,SR12A-PC-HSTR-02:I,SR12A-PC-HSTR-02:SETI
1105,SR12A-PC-HSTR-02,h_fofb_disabled,SR12A-PC-HSTR-02:FAST:DISABLED,
1105,SR12A-PC-HSTR-02,h_sofb_disabled,SR12A-PC-HSTR-02:SLOW:DISABLED,
1105,SR12A-PC-VSTR-02,y_kick,SR12A-PC-VSTR-02:I,SR12A-PC-VSTR-02:SETI
1105,SR12A-PC-VSTR-02,v_fofb_disabled,SR12A-PC-VSTR-02:FAST:DISABLED,
1105,SR12A-PC-VSTR-02,v_sofb_disabled,SR12A-PC-VSTR-02:SLOW:DISABLED,
1108,SR12C-DI-EBPM-02,x,SR12C-DI-EBPM-02:SA:X,
1108,SR12C-DI-EBPM-02,y,SR12C-DI-EBPM-02:SA:Y,
1108,SR12C-DI-EBPM-02,enabled,SR12C-DI-EBPM-02:CF:ENABLED_S,
1108,SR12C-DI-EBPM-02,x_fofb_disabled,SR12C-PC-HBPM-02:FAST:DISABLED,
1108,SR12C-DI-EBPM-02,x_sofb_disabled,SR12C-PC-HBPM-02:SLOW:DISABLED,
1108,SR12C-DI-EBPM-02,y_fofb_disabled,SR12C-PC-VBPM-02:FAST:DISABLED,
