el_id,field,uc_type,uc_id,phys_units,eng_units,lower_lim,upper_lim
1308,x,poly,119,mm,m,,
1308,y,poly,119,mm,m,,
1316,x,poly,119,mm,m,,
1316,y,poly,119,mm,m,,
1330,x,poly,119,mm,m,,
1330,y,poly,119,mm,m,,
1340,x,poly,119,mm,m,,
1340,y,poly,119,mm,m,,
1350,x,poly,119,mm,m,,
1350,y,poly,119,mm,m,,
1365,x,poly,119,mm,m,,
1365,y,poly,119,mm,m,,
1381,x,poly,119,mm,m,,
1381,y,poly,119,mm,m,,
1387,x,poly,119,mm,m,,
1387,y,poly,119,mm,m,,
1395,x,poly,119,mm,m,,
1395,y,poly,119,mm,m,,
1409,x,poly,119,mm,m,,
1409,y,poly,119,mm,m,,
1419,x,poly,119,mm,m,,
1419,y,poly,119,mm,m,,
1429,x,poly,119,mm,m,,
1429,y,poly,119,mm,m,,
1445,x,poly,119,mm,m,,
1445,y,poly,119,mm,m,,
1461,x,poly,119,mm,m,,
1461,y,poly,119,mm,m,,
1467,x,poly,119,mm,m,,
1467,y,poly,119,mm,m,,
1475,x,poly,119,mm,m,,
1475,y,poly,119,mm,m,,
1489,x,poly,119,mm,m,,
1489,y,poly,119,mm,m,,
1500,x,poly,119,mm,m,,
1500,y,poly,119,mm,m,,
1510,x,poly,119,mm,m,,
1510,y,poly,119,mm,m,,
1515,x,poly,119,mm,m,,
1515,y,poly,119,mm,m,,
1531,x,poly,119,mm,m,,
1531,y,poly,119,mm,m,,
1537,x,poly,119,mm,m,,
1537,y,poly,119,mm,m,,
1545,x,poly,119,mm,m,,
1545,y,poly,119,mm,m,,
1559,x,poly,119,mm,m,,
1559,y,poly,119,mm,m,,
1569,x,poly,119,mm,m,,
1569,y,poly,119,mm,m,,
1579,x,poly,119,mm,m,,
1579,y,poly,119,mm,m,,
1595,x,poly,119,mm,m,,
1595,y,poly,119,mm,m,,
1611,x,poly,119,mm,m,,
1611,y,poly,119,mm,m,,
1617,x,poly,119,mm,m,,
1617,y,poly,119,mm,m,,
1625,x,poly,119,mm,m,,
1625,y,poly,119,mm,m,,
1639,x,poly,119,mm,m,,
1639,y,poly,119,mm,m,,
1650,x,poly,119,mm,m,,
1650,y,poly,119,mm,m,,
1660,x,poly,119,mm,m,,
1660,y,poly,119,mm,m,,
1688,x,poly,119,mm,m,,
1688,y,poly,119,mm,m,,
1704,x,poly,119,mm,m,,
1704,y,poly,119,mm,m,,
1710,x,poly,119,mm,m,,
1710,y,poly,119,mm,m,,
1718,x,poly,119,mm,m,,
1718,y,poly,119,mm,m,,
1732,x,poly,119,mm,m,,
1732,y,poly,119,mm,m,,
1742,x,poly,119,mm,m,,
1742,y,poly,119,mm,m,,
1752,x,poly,119,mm,m,,
1752,y,poly,119,mm,m,,
1796,x,poly,119,mm,m,,
1796,y,poly,119,mm,m,,
1813,x,poly,119,mm,m,,
1813,y,poly,119,mm,m,,
1819,x,poly,119,mm,m,,
1819,y,poly,119,mm,m,,
1827,x,poly,119,mm,m,,
1827,y,poly,119,mm,m,,
1841,x,poly,119,mm,m,,
1841,y,poly,119,mm,m,,
1851,x,poly,119,mm,m,,
1851,y,poly,119,mm,m,,
1861,x,poly,119,mm,m,,
