id,field,get_pv,set_pv,enable_pv,enable_value
1063,x,SR12C-DI-EBPM-01:SA:X,,SR12C-DI-EBPM-01:CF:ENABLED_S,1
1063,y,SR12C-DI-EBPM-01:SA:Y,,SR12C-DI-EBPM-01:CF:ENABLED_S,1
1065,b1,SR12A-PC-Q1B-01:I,SR12A-PC-Q1B-01:SETI,,
1068,b2,SR12A-PC-S1C-01:I,SR12A-PC-S1C-01:SETI,,
1068,b0,SR12A-PC-HSTR-01:I,SR12A-PC-HSTR-01:SETI,,
1068,a0,SR12A-PC-VSTR-01:I,SR12A-PC-VSTR-01:SETI,,
1071,b1,SR12A-PC-Q2B-02:I,SR12A-PC-Q2B-02:SETI,,
1073,b1,SR12A-PC-Q3B-03:I,SR12A-PC-Q3B-03:SETI,,
1076,b2,SR12A-PC-S2C-02:I,SR12A-PC-S2C-02:SETI,,
1076,b0,SR12A-PC-HSTR-02:I,SR12A-PC-HSTR-02:SETI,,
1076,a0,SR12A-PC-VSTR-02:I,SR12A-PC-VSTR-02:SETI,,
1079,x,SR12C-DI-EBPM-02:SA:X,,SR12C-DI-EBPM-02:CF:ENABLED_S,1
1079,y,SR12C-DI-EBPM-02:SA:Y,,SR12C-DI-EBPM-02:CF:ENABLED_S,1
1081,b0,SR-PC-DIPOL-01:I,SR-PC-DIPOL-01:SETI,,
1083,b1,SR12A-PC-Q2AB-04:I,SR12A-PC-Q2AB-04:SETI,,
1085,x,SR12C-DI-EBPM-03:SA:X,,SR12C-DI-EBPM-03:CF:ENABLED_S,1
1085,y,SR12C-DI-EBPM-03:SA:Y,,SR12C-DI-EBPM-03:CF:ENABLED_S,1
1088,b2,SR12A-PC-S2A-03:I,SR12A-PC-S2A-03:SETI,,
1088,b0,SR12A-PC-HSTR-03:I,SR12A-PC-HSTR-03:SETI,,
1088,a0,SR12A-PC-VSTR-03:I,SR12A-PC-VSTR-03:SETI,,
1091,b1,SR12A-PC-Q1AB-05:I,SR12A-PC-Q1AB-05:SETI,,
1093,x,SR12C-DI-EBPM-04:SA:X,,SR12C-DI-EBPM-04:CF:ENABLED_S,1
1093,y,SR12C-DI-EBPM-04:SA:Y,,SR12C-DI-EBPM-04:CF:ENABLED_S,1
1096,b2,SR12A-PC-S1A-04:I,SR12A-PC-S1A-04:SETI,,
1096,b0,SR12A-PC-HSTR-04:I,SR12A-PC-HSTR-04:SETI,,
1096,a0,SR12A-PC-VSTR-04:I,SR12A-PC-VSTR-04:SETI,,
1099,b1,SR12A-PC-Q1AD-06:I,SR12A-PC-Q1AD-06:SETI,,
1102,b2,SR12A-PC-S2A-05:I,SR12A-PC-S2A-05:SETI,,
1102,b0,SR12A-PC-HSTR-05:I,SR12A-PC-HSTR-05:SETI,,
1102,a0,SR12A-PC-VSTR-05:I,SR12A-PC-VSTR-05:SETI,,
1105,b1,SR12A-PC-Q2AD-07:I,SR12A-PC-Q2AD-07:SETI,,
1107,x,SR12C-DI-EBPM-05:SA:X,,SR12C-DI-EBPM-05:CF:ENABLED_S,1
1107,y,SR12C-DI-EBPM-05:SA:Y,,SR12C-DI-EBPM-05:CF:ENABLED_S,1
1109,b0,SR-PC-DIPOL-01:I,SR-PC-DIPOL-01:SETI,,
1112,b2,SR12A-PC-S2D-06:I,SR12A-PC-S2D-06:SETI,,
1112,b0,SR12A-PC-HSTR-06:I,SR12A-PC-HSTR-06:SETI,,
1112,a0,SR12A-PC-VSTR-06:I,SR12A-PC-VSTR-06:SETI,,
1115,b1,SR12A-PC-Q3D-08:I,SR12A-PC-Q3D-08:SETI,,
1117,x,SR12C-DI-EBPM-06:SA:X,,SR12C-DI-EBPM-06:CF:ENABLED_S,1
1117,y,SR12C-DI-EBPM-06:SA:Y,,SR12C-DI-EBPM-06:CF:ENABLED_S,1
