id,name,field,get_pv,set_pv
62,SR01A-PC-VSTR-07,v_fofb_disabled,SR01A-PC-VSTR-07:FAST:DISABLED,
62,SR01A-PC-VSTR-07,v_sofb_disabled,SR01A-PC-VSTR-07:SLOW:DISABLED,
65,SR01A-PC-Q1B-10,b1,SR01A-PC-Q1B-10:I,SR01A-PC-Q1B-10:SETI
67,SR01C-DI-EBPM-07,x,SR01C-DI-EBPM-07:SA:X,
67,SR01C-DI-EBPM-07,y,SR01C-DI-EBPM-07:SA:Y,
67,SR01C-DI-EBPM-07,enabled,SR01C-DI-EBPM-07:CF:ENABLED_S,
67,SR01C-DI-EBPM-07,x_fofb_disabled,SR01C-PC-HBPM-07:FAST:DISABLED,
67,SR01C-DI-EBPM-07,x_sofb_disabled,SR01C-PC-HBPM-07:SLOW:DISABLED,
67,SR01C-DI-EBPM-07,y_fofb_disabled,SR01C-PC-VBPM-07:FAST:DISABLED,
67,SR01C-DI-EBPM-07,y_sofb_disabled,SR01C-PC-VBPM-07:SLOW:DISABLED,
95,SR02C-DI-EBPM-01,x,SR02C-DI-EBPM-01:SA:X,
95,SR02C-DI-EBPM-01,y,SR02C-DI-EBPM-01:SA:Y,
95,SR02C-DI-EBPM-01,enabled,SR02C-DI-EBPM-01:CF:ENABLED_S,
95,SR02C-DI-EBPM-01,x_fofb_disabled,SR02C-PC-HBPM-01:FAST:DISABLED,
95,SR02C-DI-EBPM-01,x_sofb_disabled,SR02C-PC-HBPM-01:SLOW:DISABLED,
95,SR02C-DI-EBPM-01,y_fofb_disabled,SR02C-PC-VBPM-01:FAST:DISABLED,
95,SR02C-DI-EBPM-01,y_sofb_disabled,SR02C-PC-VBPM-01:SLOW:DISABLED,
99,SR02A-PC-Q1BE-01,b1,SR02A-PC-Q1BE-01:I,SR02A-PC-Q1BE-01:SETI
101,SR02A-PC-S1BE-01,b2,SR02A-PC-S1BE-01:I,SR02A-PC-S1BE-01:SETI
101,SR02A-PC-HSTR-01,b0,SR02A-PC-HSTR-01:I,SR02A-PC-HSTR-01:SETI
101,SR02A-PC-HSTR-01,h_fofb_disabled,SR02A-PC-HSTR-01:FAST:DISABLED,
101,SR02A-PC-HSTR-01,h_sofb_disabled,SR02A-PC-HSTR-01:SLOW:DISABLED,
101,SR02A-PC-VSTR-01,a0,SR02A-PC-VSTR-01:I,SR02A-PC-VSTR-01:SETI
101,SR02A-PC-VSTR-01,v_fofb_disabled,SR02A-PC-VSTR-01:FAST:DISABLED,
101,SR02A-PC-VSTR-01,v_sofb_disabled,SR02A-PC-VSTR-01:SLOW:DISABLED,
103,SR02A-PC-Q2BE-02,b1,SR02A-PC-Q2BE-02:I,SR02A-PC-Q2BE-02:SETI
107,SR02A-PC-S2BE-02,b2,SR02A-PC-S2BE-02:I,SR02A-PC-S2BE-02:SETI
111,SR-PC-DIPOL-01,b0,SR-PC-DIPOL-01:I,SR-PC-DIPOL-01:SETI
