el_id,field,uc_type,uc_id,phys_units,eng_units
961,b0,pchip,113,m^-1,A
1011,b0,pchip,113,m^-1,A
1039,b0,pchip,113,m^-1,A
1089,b0,pchip,113,m^-1,A
1117,b0,pchip,113,m^-1,A
1205,b0,pchip,113,m^-1,A
1233,b0,pchip,113,m^-1,A
1283,b0,pchip,113,m^-1,A
1311,b0,pchip,113,m^-1,A
1361,b0,pchip,113,m^-1,A
1389,b0,pchip,113,m^-1,A
1441,b0,pchip,113,m^-1,A
1470,b0,pchip,113,m^-1,A
1511,b0,pchip,113,m^-1,A
1539,b0,pchip,113,m^-1,A
1591,b0,pchip,113,m^-1,A
1620,b0,pchip,113,m^-1,A
1670,b0,pchip,113,m^-1,A
1698,b0,pchip,113,m^-1,A
1779,b0,pchip,113,m^-1,A
1807,b0,pchip,113,m^-1,A
1857,b0,pchip,113,m^-1,A
1886,b0,pchip,113,m^-1,A
1936,b0,pchip,113,m^-1,A
1965,b0,pchip,113,m^-1,A
2015,b0,pchip,113,m^-1,A
2044,b0,pchip,113,m^-1,A
2094,b0,pchip,113,m^-1,A
2123,b0,pchip,113,m^-1,A
111,b0,pchip,114,m^-1,A
189,b0,pchip,114,m^-1,A
136,b0,pchip,115,m^-1,A
164,b0,pchip,115,m^-1,A
3,x,poly,116,mm,m
3,y,poly,116,mm,m
19,x,poly,116,mm,m
19,y,poly,116,mm,m
25,x,poly,116,mm,m
25,y,poly,116,mm,m
33,x,poly,116,mm,m
33,y,poly,116,mm,m
47,x,poly,116,mm,m
47,y,poly,116,mm,m
57,x,poly,116,mm,m
57,y,poly,116,mm,m
67,x,poly,116,mm,m
67,y,poly,116,mm,m
95,x,poly,116,mm,m
95,y,poly,116,mm,m
118,x,poly,116,mm,m
118,y,poly,116,mm,m
134,x,poly,116,mm,m
134,y,poly,116,mm,m
147,x,poly,116,mm,m
147,y,poly,116,mm,m
155,x,poly,116,mm,m
155,y,poly,116,mm,m
177,x,poly,116,mm,m
177,y,poly,116,mm,m
187,x,poly,116,mm,m
187,y,poly,116,mm,m
212,x,poly,116,mm,m
212,y,poly,116,mm,m
240,x,poly,116,mm,m
240,y,poly,116,mm,m
256,x,poly,116,mm,m
256,y,poly,116,mm,m
262,x,poly,116,mm,m
262,y,poly,116,mm,m
270,x,poly,116,mm,m
270,y,poly,116,mm,m
284,x,poly,116,mm,m
284,y,poly,116,mm,m
294,x,poly,116,mm,m
