el_id,field,uc_type,uc_id,phys_units,eng_units,lower_lim,upper_lim
1368,b2,pchip,60,m^-3,A,0,100
1382,b2,pchip,61,m^-3,A,0,100
1448,b2,pchip,62,m^-3,A,0,100
1462,b2,pchip,63,m^-3,A,0,100
1518,b2,pchip,64,m^-3,A,0,100
1532,b2,pchip,65,m^-3,A,0,100
1598,b2,pchip,66,m^-3,A,0,100
1612,b2,pchip,67,m^-3,A,0,100
1677,b2,pchip,68,m^-3,A,0,100
1691,b2,pchip,69,m^-3,A,0,100
1786,b2,pchip,70,m^-3,A,0,100
1800,b2,pchip,71,m^-3,A,0,100
1864,b2,pchip,72,m^-3,A,0,100
1878,b2,pchip,73,m^-3,A,0,100
1943,b2,pchip,74,m^-3,A,0,100
1957,b2,pchip,75,m^-3,A,0,100
2022,b2,pchip,76,m^-3,A,0,100
2036,b2,pchip,77,m^-3,A,0,100
2101,b2,pchip,78,m^-3,A,0,100
2115,b2,pchip,79,m^-3,A,0,100
36,b2,pchip,80,m^-3,A,0,100
273,b2,pchip,80,m^-3,A,0,100
375,b2,pchip,80,m^-3,A,0,100
456,b2,pchip,80,m^-3,A,0,100
547,b2,pchip,80,m^-3,A,0,100
639,b2,pchip,80,m^-3,A,0,100
718,b2,pchip,80,m^-3,A,0,100
834,b2,pchip,80,m^-3,A,0,100
948,b2,pchip,80,m^-3,A,0,100
1026,b2,pchip,80,m^-3,A,0,100
1104,b2,pchip,80,m^-3,A,0,100
1220,b2,pchip,80,m^-3,A,0,100
1298,b2,pchip,80,m^-3,A,0,100
1376,b2,pchip,80,m^-3,A,0,100
1456,b2,pchip,80,m^-3,A,0,100
1526,b2,pchip,80,m^-3,A,0,100
1606,b2,pchip,80,m^-3,A,0,100
1685,b2,pchip,80,m^-3,A,0,100
1794,b2,pchip,80,m^-3,A,0,100
1872,b2,pchip,80,m^-3,A,0,100
1951,b2,pchip,80,m^-3,A,0,100
2030,b2,pchip,80,m^-3,A,0,100
2109,b2,pchip,80,m^-3,A,0,100
52,b2,pchip,81,m^-3,A,-100,100
355,b2,pchip,81,m^-3,A,-100,100
472,b2,pchip,81,m^-3,A,-100,100
698,b2,pchip,81,m^-3,A,-100,100
850,b2,pchip,81,m^-3,A,-100,100
1084,b2,pchip,81,m^-3,A,-100,100
1236,b2,pchip,81,m^-3,A,-100,100
1436,b2,pchip,81,m^-3,A,-100,100
1542,b2,pchip,81,m^-3,A,-100,100
1774,b2,pchip,81,m^-3,A,-100,100
1889,b2,pchip,81,m^-3,A,-100,100
2089,b2,pchip,81,m^-3,A,-100,100
62,b2,pchip,82,m^-3,A,-100,100
347,b2,pchip,82,m^-3,A,-100,100
482,b2,pchip,82,m^-3,A,-100,100
690,b2,pchip,82,m^-3,A,-100,100
860,b2,pchip,82,m^-3,A,-100,100
1076,b2,pchip,82,m^-3,A,-100,100
1246,b2,pchip,82,m^-3,A,-100,100
1428,b2,pchip,82,m^-3,A,-100,100
1552,b2,pchip,82,m^-3,A,-100,100
1766,b2,pchip,82,m^-3,A,-100,100
1899,b2,pchip,82,m^-3,A,-100,100
2081,b2,pchip,82,m^-3,A,-100,100
101,b2,pchip,83,m^-3,A,0,100
202,b2,pchip,84,m^-3,A,0,100
107,b2,pchip,85,m^-3,A,0,100
194,b2,pchip,86,m^-3,A,0,100
120,b2,pchip,87,m^-3,A,0,100
130,b2,pchip,88,m^-3,A,0,100
171,b2,pchip,89,m^-3,A,0,100
183,b2,pchip,90,m^-3,A,0,100
126,b2,pchip,91,m^-3,A,0,100
179,b2,pchip,92,m^-3,A,0,100
245,b2,pchip,93,m^-3,A,-100,100
299,b2,pchip,93,m^-3,A,-100,100
519,b2,pchip,93,m^-3,A,-100,100
573,b2,pchip,93,m^-3,A,-100,100
611,b2,pchip,93,m^-3,A,-100,100
666,b2,pchip,93,m^-3,A,-100,100
920,b2,pchip,93,m^-3,A,-100,100
974,b2,pchip,93,m^-3,A,-100,100
998,b2,pchip,93,m^-3,A,-100,100
1052,b2,pchip,93,m^-3,A,-100,100
1270,b2,pchip,93,m^-3,A,-100,100
1324,b2,pchip,93,m^-3,A,-100,100
1348,b2,pchip,93,m^-3,A,-100,100
