el_id,field,uc_type,uc_id,phys_units,eng_units
611,b2,pchip,92,m^-3,A
666,b2,pchip,92,m^-3,A
920,b2,pchip,92,m^-3,A
974,b2,pchip,92,m^-3,A
998,b2,pchip,92,m^-3,A
1054,b2,pchip,92,m^-3,A
1272,b2,pchip,92,m^-3,A
1326,b2,pchip,92,m^-3,A
1350,b2,pchip,92,m^-3,A
1404,b2,pchip,92,m^-3,A
1580,b2,pchip,92,m^-3,A
1635,b2,pchip,92,m^-3,A
1659,b2,pchip,92,m^-3,A
1713,b2,pchip,92,m^-3,A
1925,b2,pchip,92,m^-3,A
1980,b2,pchip,92,m^-3,A
2004,b2,pchip,92,m^-3,A
2059,b2,pchip,92,m^-3,A
253,b2,pchip,93,m^-3,A
289,b2,pchip,94,m^-3,A
527,b2,pchip,95,m^-3,A
563,b2,pchip,96,m^-3,A
619,b2,pchip,97,m^-3,A
656,b2,pchip,98,m^-3,A
928,b2,pchip,99,m^-3,A
964,b2,pchip,100,m^-3,A
1006,b2,pchip,101,m^-3,A
1044,b2,pchip,102,m^-3,A
1280,b2,pchip,103,m^-3,A
1316,b2,pchip,104,m^-3,A
1358,b2,pchip,105,m^-3,A
1394,b2,pchip,106,m^-3,A
1588,b2,pchip,107,m^-3,A
1625,b2,pchip,108,m^-3,A
1667,b2,pchip,109,m^-3,A
1703,b2,pchip,110,m^-3,A
1933,b2,pchip,111,m^-3,A
1970,b2,pchip,112,m^-3,A
2012,b2,pchip,113,m^-3,A
2049,b2,pchip,114,m^-3,A
21,b0,pchip,115,m^-1,A
49,b0,pchip,115,m^-1,A
111,b0,pchip,115,m^-1,A
136,b0,pchip,115,m^-1,A
164,b0,pchip,115,m^-1,A
189,b0,pchip,115,m^-1,A
258,b0,pchip,115,m^-1,A
286,b0,pchip,115,m^-1,A
360,b0,pchip,115,m^-1,A
388,b0,pchip,115,m^-1,A
441,b0,pchip,115,m^-1,A
469,b0,pchip,115,m^-1,A
532,b0,pchip,115,m^-1,A
560,b0,pchip,115,m^-1,A
624,b0,pchip,115,m^-1,A
653,b0,pchip,115,m^-1,A
703,b0,pchip,115,m^-1,A
731,b0,pchip,115,m^-1,A
819,b0,pchip,115,m^-1,A
847,b0,pchip,115,m^-1,A
933,b0,pchip,115,m^-1,A
961,b0,pchip,115,m^-1,A
1011,b0,pchip,115,m^-1,A
1041,b0,pchip,115,m^-1,A
1091,b0,pchip,115,m^-1,A
1119,b0,pchip,115,m^-1,A
1207,b0,pchip,115,m^-1,A
1235,b0,pchip,115,m^-1,A
1285,b0,pchip,115,m^-1,A
1313,b0,pchip,115,m^-1,A
1363,b0,pchip,115,m^-1,A
1391,b0,pchip,115,m^-1,A
1443,b0,pchip,115,m^-1,A
1472,b0,pchip,115,m^-1,A
1513,b0,pchip,115,m^-1,A
1541,b0,pchip,115,m^-1,A
1593,b0,pchip,115,m^-1,A
1622,b0,pchip,115,m^-1,A
1672,b0,pchip,115,m^-1,A
1700,b0,pchip,115,m^-1,A
1781,b0,pchip,115,m^-1,A
1809,b0,pchip,115,m^-1,A
1859,b0,pchip,115,m^-1,A
1888,b0,pchip,115,m^-1,A
1938,b0,pchip,115,m^-1,A
1967,b0,pchip,115,m^-1,A
2017,b0,pchip,115,m^-1,A
2046,b0,pchip,115,m^-1,A
2096,b0,pchip,115,m^-1,A
2125,b0,pchip,115,m^-1,A
111,b0,pchip,116,m^-1,A
189,b0,pchip,116,m^-1,A
136,b0,pchip,117,m^-1,A
164,b0,pchip,117,m^-1,A
3,x,poly,118,mm,m
3,y,poly,118,mm,m
19,x,poly,118,mm,m
19,y,poly,118,mm,m
25,x,poly,118,mm,m
25,y,poly,118,mm,m
33,x,poly,118,mm,m
33,y,poly,118,mm,m
47,x,poly,118,mm,m
47,y,poly,118,mm,m
57,x,poly,118,mm,m
57,y,poly,118,mm,m
67,x,poly,118,mm,m
67,y,poly,118,mm,m
95,x,poly,118,mm,m
95,y,poly,118,mm,m
118,x,poly,118,mm,m
118,y,poly,118,mm,m
134,x,poly,118,mm,m
134,y,poly,118,mm,m
147,x,poly,118,mm,m
147,y,poly,118,mm,m
155,x,poly,118,mm,m
155,y,poly,118,mm,m
177,x,poly,118,mm,m
177,y,poly,118,mm,m
187,x,poly,118,mm,m
187,y,poly,118,mm,m
212,x,poly,118,mm,m
212,y,poly,118,mm,m
240,x,poly,118,mm,m
240,y,poly,118,mm,m
256,x,poly,118,mm,m
256,y,poly,118,mm,m
262,x,poly,118,mm,m
262,y,poly,118,mm,m
270,x,poly,118,mm,m
270,y,poly,118,mm,m
284,x,poly,118,mm,m
284,y,poly,118,mm,m
294,x,poly,118,mm,m
294,y,poly,118,mm,m
304,x,poly,118,mm,m
304,y,poly,118,mm,m
342,x,poly,118,mm,m
342,y,poly,118,mm,m
358,x,poly,118,mm,m
358,y,poly,118,mm,m
364,x,poly,118,mm,m
364,y,poly,118,mm,m
372,x,poly,118,mm,m
372,y,poly,118,mm,m
386,x,poly,118,mm,m
386,y,poly,118,mm,m
396,x,poly,118,mm,m
396,y,poly,118,mm,m
406,x,poly,118,mm,m
406,y,poly,118,mm,m
423,x,poly,118,mm,m
423,y,poly,118,mm,m
439,x,poly,118,mm,m
439,y,poly,118,mm,m
445,x,poly,118,mm,m
445,y,poly,118,mm,m
453,x,poly,118,mm,m
453,y,poly,118,mm,m
467,x,poly,118,mm,m
467,y,poly,118,mm,m
477,x,poly,118,mm,m
477,y,poly,118,mm,m
487,x,poly,118,mm,m
487,y,poly,118,mm,m
514,x,poly,118,mm,m
514,y,poly,118,mm,m
530,x,poly,118,mm,m
530,y,poly,118,mm,m
536,x,poly,118,mm,m
536,y,poly,118,mm,m
544,x,poly,118,mm,m
544,y,poly,118,mm,m
558,x,poly,118,mm,m
558,y,poly,118,mm,m
568,x,poly,118,mm,m
568,y,poly,118,mm,m
578,x,poly,118,mm,m
578,y,poly,118,mm,m
606,x,poly,118,mm,m
606,y,poly,118,mm,m
622,x,poly,118,mm,m
622,y,poly,118,mm,m
628,x,poly,118,mm,m
628,y,poly,118,mm,m
636,x,poly,118,mm,m
636,y,poly,118,mm,m
650,x,poly,118,mm,m
650,y,poly,118,mm,m
661,x,poly,118,mm,m
661,y,poly,118,mm,m
671,x,poly,118,mm,m
671,y,poly,118,mm,m
685,x,poly,118,mm,m
685,y,poly,118,mm,m
701,x,poly,118,mm,m
701,y,poly,118,mm,m
707,x,poly,118,mm,m
707,y,poly,118,mm,m
715,x,poly,118,mm,m
715,y,poly,118,mm,m
729,x,poly,118,mm,m
729,y,poly,118,mm,m
739,x,poly,118,mm,m
739,y,poly,118,mm,m
755,x,poly,118,mm,m
755,y,poly,118,mm,m
767,x,poly,118,mm,m
767,y,poly,118,mm,m
780,x,poly,118,mm,m
780,y,poly,118,mm,m
795,x,poly,118,mm,m
795,y,poly,118,mm,m
817,x,poly,118,mm,m
817,y,poly,118,mm,m
823,x,poly,118,mm,m
823,y,poly,118,mm,m
831,x,poly,118,mm,m
831,y,poly,118,mm,m
845,x,poly,118,mm,m
845,y,poly,118,mm,m
855,x,poly,118,mm,m
