id,name,field,get_pv,set_pv
1098,SR12A-PC-VSTR-03,a0,SR12A-PC-VSTR-03:I,SR12A-PC-VSTR-03:SETI
1098,SR12A-PC-VSTR-03,v_fofb_disabled,SR12A-PC-VSTR-03:FAST:DISABLED,
1098,SR12A-PC-VSTR-03,v_sofb_disabled,SR12A-PC-VSTR-03:SLOW:DISABLED,
1101,SR12A-PC-Q1AB-05,b1,SR12A-PC-Q1AB-05:I,SR12A-PC-Q1AB-05:SETI
1103,SR12C-DI-EBPM-04,x,SR12C-DI-EBPM-04:SA:X,
1103,SR12C-DI-EBPM-04,y,SR12C-DI-EBPM-04:SA:Y,
1103,SR12C-DI-EBPM-04,enabled,SR12C-DI-EBPM-04:CF:ENABLED_S,
1103,SR12C-DI-EBPM-04,x_fofb_disabled,SR12C-PC-HBPM-04:FAST:DISABLED,
1103,SR12C-DI-EBPM-04,x_sofb_disabled,SR12C-PC-HBPM-04:SLOW:DISABLED,
1103,SR12C-DI-EBPM-04,y_fofb_disabled,SR12C-PC-VBPM-04:FAST:DISABLED,
1103,SR12C-DI-EBPM-04,y_sofb_disabled,SR12C-PC-VBPM-04:SLOW:DISABLED,
1106,SR12A-PC-S1A-04,b2,SR12A-PC-S1A-04:I,SR12A-PC-S1A-04:SETI
1106,SR12A-PC-HSTR-04,b0,SR12A-PC-HSTR-04:I,SR12A-PC-HSTR-04:SETI
1106,SR12A-PC-HSTR-04,h_fofb_disabled,SR12A-PC-HSTR-04:FAST:DISABLED,
1106,SR12A-PC-HSTR-04,h_sofb_disabled,SR12A-PC-HSTR-04:SLOW:DISABLED,
1106,SR12A-PC-VSTR-04,a0,SR12A-PC-VSTR-04:I,SR12A-PC-VSTR-04:SETI
1106,SR12A-PC-VSTR-04,v_fofb_disabled,SR12A-PC-VSTR-04:FAST:DISABLED,
1106,SR12A-PC-VSTR-04,v_sofb_disabled,SR12A-PC-VSTR-04:SLOW:DISABLED,
1109,SR12A-PC-Q1AD-06,b1,SR12A-PC-Q1AD-06:I,SR12A-PC-Q1AD-06:SETI
1112,SR12A-PC-S2A-05,b2,SR12A-PC-S2A-05:I,SR12A-PC-S2A-05:SETI
1112,SR12A-PC-HSTR-05,b0,SR12A-PC-HSTR-05:I,SR12A-PC-HSTR-05:SETI
1112,SR12A-PC-HSTR-05,h_fofb_disabled,SR12A-PC-HSTR-05:FAST:DISABLED,
1112,SR12A-PC-HSTR-05,h_sofb_disabled,SR12A-PC-HSTR-05:SLOW:DISABLED,
1112,SR12A-PC-VSTR-05,a0,SR12A-PC-VSTR-05:I,SR12A-PC-VSTR-05:SETI
1112,SR12A-PC-VSTR-05,v_fofb_disabled,SR12A-PC-VSTR-05:FAST:DISABLED,
1112,SR12A-PC-VSTR-05,v_sofb_disabled,SR12A-PC-VSTR-05:SLOW:DISABLED,
1115,SR12A-PC-Q2AD-07,b1,SR12A-PC-Q2AD-07:I,SR12A-PC-Q2AD-07:SETI
1117,SR12C-DI-EBPM-05,x,SR12C-DI-EBPM-05:SA:X,
1117,SR12C-DI-EBPM-05,y,SR12C-DI-EBPM-05:SA:Y,
1117,SR12C-DI-EBPM-05,enabled,SR12C-DI-EBPM-05:CF:ENABLED_S,
1117,SR12C-DI-EBPM-05,x_fofb_disabled,SR12C-PC-HBPM-05:FAST:DISABLED,
1117,SR12C-DI-EBPM-05,x_sofb_disabled,SR12C-PC-HBPM-05:SLOW:DISABLED,
1117,SR12C-DI-EBPM-05,y_fofb_disabled,SR12C-PC-VBPM-05:FAST:DISABLED,
1117,SR12C-DI-EBPM-05,y_sofb_disabled,SR12C-PC-VBPM-05:SLOW:DISABLED,
1119,SR-PC-DIPOL-01,b0,SR-PC-DIPOL-01:I,SR-PC-DIPOL-01:SETI
1122,SR12A-PC-S2D-06,b2,SR12A-PC-S2D-06:I,SR12A-PC-S2D-06:SETI
1122,SR12A-PC-HSTR-06,b0,SR12A-PC-HSTR-06:I,SR12A-PC-HSTR-06:SETI
1122,SR12A-PC-HSTR-06,h_fofb_disabled,SR12A-PC-HSTR-06:FAST:DISABLED,
1122,SR12A-PC-HSTR-06,h_sofb_disabled,SR12A-PC-HSTR-06:SLOW:DISABLED,
1122,SR12A-PC-VSTR-06,a0,SR12A-PC-VSTR-06:I,SR12A-PC-VSTR-06:SETI
1122,SR12A-PC-VSTR-06,v_fofb_disabled,SR12A-PC-VSTR-06:FAST:DISABLED,
1122,SR12A-PC-VSTR-06,v_sofb_disabled,SR12A-PC-VSTR-06:SLOW:DISABLED,
1125,SR12A-PC-Q3D-08,b1,SR12A-PC-Q3D-08:I,SR12A-PC-Q3D-08:SETI
1127,SR12C-DI-EBPM-06,x,SR12C-DI-EBPM-06:SA:X,
